,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
0,Civil Service Pensions 2015 Remedy,CO,Amber,The 2015 Pensions Remedy Programme was created to end age discrimination within the Civil Service Pension Schemes and is also creating solutions to remediate any affected to historic members of the scheme.,"Compared to financial year 21/22-Q4, the Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber (SRO rating). This is primarily due to the following factors.
We are currently on track to implement the next 2 stages of the programme to deliver the functionality to rollback impacted members accounts to a pre-2015 position and offer retired members and immediate choice for benefit payments of the 7 year remedy period (1/4/2015-31/3/2022) and for future retirements a deferred choice. Amber status reflects some concerns around the suppliers resourcing levels. There is an agreed plan in place to mitigate this and we are working closely with the supplier to ensure effective delivery of the project.",2020-05-20,2024-09-30,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2024-09-30. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2024-09-30. This is primarily due to the following factors. No deviation from planned schedule. We are on track to deliver the 'rollback' functionality by 1 Oct 2023 and Immediate/ Deferred choice from 1 Oct 23 onwards.",7.9,4.2,34.0,The budget variance exceeds 5%. This is primarily due to a significant underspend on behalf of our supplier and compounded in built contingency funds.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 remained at 34m. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 remained at 34m. This is primarily due to the following factors. Forecast spend in 2022/23 did not materialise within the predicted project timeline and so was moved to 2023/24 forecating, as there remains a need for the work forecast for 22/23 to be completed to ensure timely completion of the programme. ",2023.0,Government Transformation and Service Delivery,CO_0024_2021-Q2,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4. 2015 Remedy has no benefits associated with it as it is a rectification programme to remove unlawful discrimination"
1,Commercial Capability Expansion Programme,CO,Amber,"The original Commercial Capability Programme successfully established the Government Commercial Organisation (GCO) - a single central employer of several hundred Commercial Specialists (Grade 6 and above) for central government departments. The Civil Service Board endorsed proposals that commercial capability building interventions should be extended to Grade 7 commercial professionals within central government, Wider Government Bodies (WGBs) and training and accreditation developed and delivered to the Civil Service contract management community. The Commercial Capability Expansion Programme has been established to impact these new target populations deeper within the Civil Service and more broadly across the Public Sector.","Compared to financial year 21/22-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
Following the IPA Assurance Review in March 2020 we received a programme Delivery Confidence Assessment (DCA) of Amber/Green. The Review Team found the programme had built significant success in building capability across the senior Commercial Function, including to G7s in Central Government Departments. We have followed up the review recommendations including a stakeholder stocktake review to improve delivery with the target contract management population and priority wider government bodies. However the impact of COVID-19 has significantly impacted delivery over the last 2 years and we downgraded our DCA to Amber.",2017-04-01,2023-03-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2023-03-31. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2023-03-31. This is primarily due to the following factors. As a result of COVID-19 impacts (including the transition of face to face service provision to digital) the Civil Service Board endorsed a 12 month programme extension to end March 2023.",3.7,3.1,26.0,The budget variance exceeds 5%. We are continuing to deliver within our operational constraints and are now forecasting to have a 600k underspend for this financial year (FY2022/23's budget comprises the Accelerator Fund of 3.02m plus 680k for Capability-building for the NHS). This is because only 29k has been spent to date for Capability-building for the NHS due to lower than expected demand throughout the financial year.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 22m. to 26m. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 22m. to 26m. This is primarily due to the following factors. The Whole Life Costs has increased as it includes the FY2022/23's Accelerator Fund budget of 3.7m to bolster delivery. However, we are forecasting an underspend of 600k for this financial year.",2023.0,Government Transformation and Service Delivery,CO_0020_1718-Q4,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agreed monetised benefits at 22/23-Q4. This is an enabling programme and captures qualitative and quantitative benefit realisation data for reporting with programme stakeholders. Whilst we have clear evidence that improved commercial and contract management capability drives commercial benefits and prevents value leakage, the benefits accrue in participating organisations and there are a number of factors at play."
2,Falcon IT Platform Refresh and Migration,CO,Amber,"Falcon is a business change programme that will fundamentally underpin the digital transformation of the Cabinet Office.The Transformation will be achieved through two key areas of investment. First we will update the OFFICIAL IT platforms within the Cabinet Office, which will contribute to reducing cyber-security risk, address legacy systems and automate underlying infrastructure. The second work stream the Cabinet Office we will invest in, will enable the implementation of the Central Digital Data Office (CDDO) interoperability policy standards and guidance through the migration of the department to Microsoft Office M365. This will enable better interoperability across government as we move both our people and data from Google Workspace to Microsoft 365. The Cabinet Office is at the heart of Government and a common productivity suite will enable more efficient and effective ways of working.","The Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
The DCA of Amber reflects the position of the Falcon Programme in February 2023. The programme has continued to build capacity and capability to ensure it moves forward, it has successfully on-boarded partners and commenced the Discovery phase. Delivery is closely managed by the a Programme Board attended by our Partners to ensure a balance in pace of delivery and quality and ensuring Value for Money. The Programme supports further independent assurance reviews and this are planned alongside the production of a Full Business Case that will be submitted for approval by the Cabinet Office and by HM Treasury for funding to build the new platform and migrate users and their data to Microsoft M365.",2022-05-01,2025-03-31,"The project's end-date at 22/23-Q4 is 2025-03-31. This is primarily due to the following factors.
The programme will complete discovery activity in autumn 2023. This will deliver a plan with a high level of confidence for the build of the new platform and the migration to M365. The schedule has a target date of 31st March 2025 with a contingency of one year that will be informed by discovery. The schedule will be monitored by the programme board to ensure value for for money and will will accelerate activity where appropriate.",0.0,0.0,52.0,"The programme was challenged to move at pace but was unable to complete the complex procurement activity in the financial year due to extensions in timelines, which were at the request of the market. One of the preferred commercial frameworks was closed (G-CLOUD12), forcing the programme to move to G-CLOUD13 and restart that procurement. These factors were the key drivers behind the budget variance which also impacted the programmes ability to onboard staff resource. Commercial contracts for the 2 supporting partners were signed in Q4 23/24.","The project's departmental-agree Whole Life Cost at 22/23-Q4 is 52m. This is primarily due to the following factors.
 The Falcon programme has an approved outline business case with forecast costs. The programmes approvals allow it to move into discovery where the phase report will confirm second stage costs. With this data a full business case with final costs will be submitted. The whole life costs will be confirmed at this point.",2023.0,Government Transformation and Service Delivery,CO_0176_2223-Q3,60.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 60m.
 The programme will deliver cashable and non- cashable benefits delivering improved collaboration and efficiency in line with the CDDO interoperability policy from the migration of the Department from Google to MS365. The OFFICAL platform refresh will deliver enhanced cybersecurity benefits including mitigating the potential costs of addressing a serious cyber security attack."
3,Future Service Programme,CO,Amber,"Future Services Programme is a series of procurement and transformation projects within the Pension directorate of GPG. Key projects within the programme include The Civil Service Pension Scheme (CSPS) and the Royal Mail Statutory Pension Scheme (RMSPS). Ministers have a legal requirement to deliver administration services for the CSPS. MyCSP Ltd currently administers the CSPS under a contract with the Cabinet Office that will expire on 31 December 2023, although transitional protection clauses in the contract means that the current service can continue until December 2025. RMSPS services expires in September 2023 however a year long extension has been although transitional protection clauses in the contract means that the current service can continue for 2 years.","Compared to financial year 21/22-Q4, the Delivery Confidence Assessment rating at 22/23-Q4 decreased from Green (IPA rating) to Amber (SRO rating). This is primarily due to the following factors.
Awaiting outcome of Gate 3 Review",2020-10-01,2025-12-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 increased from 2024-12-31 to 2025-12-31. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2024-12-31. This is primarily due to the following factors. Prject schedule has slipped due to extended time required on negotiations for CSPS",1.6,1.7,,Data already completed on GMPP,"NA
The project did not provide data",2023.0,Government Transformation and Service Delivery,CO_0027_2021-Q4,11.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 11m.
Benefits have been defined as part of the OBC and FBC which will be deleivered during transition. The final business case has been worked on and submitted to COAB for the July board part of which work will be done to revisit benefits identified within the early cost modelling stage to establish whether they are still relevant."
4,GOV.UK One Login,CO,Amber,"GOV.UK One Login will provide a single account for people to log in, prove (and then reuse) their identity in order to access all central HMG services. 

The programme, delivered by GDS, will replace the current digital landscape of siloed and duplicative sign-in and identity-proofing methods, providing a front door for services that will continue to be delivered by government departments. In doing so GOV.UK One Login will provide a better user experience, more efficient use of government resources and strengthen the government's ability to counter fraud. The system has been designed with inclusion at its core, so that it will work for everyone. One Login will raise the degree of confidence of identity verifications against internationally recognised GPG 45 standards and improve our ability to spot patterns and more sophisticated types of fraud.","Compared to financial year 21/22-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
The GOV.UK One Login programme continued to deliver at pace in 2022/23, successfully meeting its major planned milestones. These included the launch of One Login's web- and app-based identity checking routes, integrated with its authentication and account functionality, and the onboarding of its first [8] government services. By year-end, over 1 million users had successfully proved their identity through One Login. The programme deepened its collaboration with departments, agreeing roadmaps that will see the bulk of central government services move to One Login in the current Spending Review period, in line with the programme's business case. This progress also enabled the legacy GOV.UK Verify system to be retired, as planned. The overall AMBER rating reflects the challenging pace of delivery, especially as GOV.UK One Login scales up, and the complexity of both the technical solution and the migration of major government services, all of which the GDS team is actively de-risking.",2021-01-04,2025-03-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2025-03-31. This is primarily due to the following factors.
We are Amber at the end of 2022/23 due to the pace and complexity of delivery, complicated technical solutions, Cyber and Information security, and stakeholder challenges. We have multiple services and accessibility issues to consider which makes this a very technical and challenging programme within the product development space. Overall confidence is increasing following the upturn in recruitment, careful planning and effective risk management. Onboarding of the first set of services has given further confidence in completion of the programme as scheduled in 2025.",114.0,114.0,305.0,The programme's departmental-agree Whole Life Cost at 22/23-Q4 is 305m. One Login build and running costs have ramped up in 23/24 as the product is developed and services onboarded.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 22m. to 305m. This is primarily due to the following factors.
The programme's departmental-agree Whole Life Cost at 22/23-Q4 is 305m. One Login build and running costs have ramped up in 23/24 as the product is developed and services onboarded.",2023.0,ICT,CO_0033_2122-Q1,1752.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 1752m.
The programme's departmental-agreed monetised benefits, at 22/23-Q4, is 1751.6m for the 5 year projection. The cashable savings in the business case include reducing identity verification and authentication costs; reducing total cost of online user support whilst reducing total user support; and, reducing public sector fraud. We are in the process of developing KPI targets, and developing a dashboard for benefits realisation. In doing so, we are working closely with HMT and the Evaluation Task Force in the development of this monitoring plan. We are also working with departments as they onboard to update our baseline assumptions, through the administration of a data collection instrument."
5,Government Hubs and Whitehall Campus Programme,CO,Amber,"The Government Hubs and Whitehall Campus (WHC) programme is transformative, delivering the Governments priorities: 
- Providing a smaller, better and greener public estate 
- Strengthening the UKs economic recovery from Covid-19 
- Levelling up economic opportunity, maximising productivity and improving value 
- Supporting the governments ambition to reach net zero carbon emissions by 2050 
- Strengthening the Union of the United Kingdom 
The programme supports the Places for Growth (PfG) initiative which encourages the movement and creation of jobs outside London and contributes to the levelling up agenda; as well as supporting pursuit of the Governments Industrial Strategy and the transformation of the Civil Service, .","The Infrastructure Project Authority's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
Programme remains Amber, in line with IPA rating given in April 2022. In the period the Programme has delivered a new Hub in Peterborough alongside interim accommodation in Darlington, Birmingham and Stoke-on-Trent. Since the last IPA Review the Programme has successfully addressed and closed all recommendations including undertaking PMO maturity assessment, mapping and augmenting processes from project initiation to completion stages and provided greater clarity around roles and responsibilities, empowering experts at the right time. Since the current Hubs Programme funding envelope was approved as part of SR21, there has been considerable change, which means that it is now necessary to amend programme plans. The programme is committed to providing an updated Business Case to CO Ministers and HMT which looks to amend scope to reflect construction inflation, cost of borrowing, IFRS16 regulations, smaller Civil Service, utilisation of hybrid working and availability of grade A office space on the market.",2015-05-01,2030-03-31,"The project's end-date at 22/23-Q4 is 2030-03-31. This is primarily due to the following factors.
The GPA Government Hubs an Whitehall Campus Programme will support the Governments Strategic requirements to relocate 16,400 Civil Servants out of London and into regional Hubs, and consolidate 37,000 FTE in the Regions by 2030 to promote economic growth",0.0,0.0,558.0,There are projects that are not progressing as initially expected due to a review of strategy between leasehold and freehold. The outcome of that review is still awaited but other non-impacted work is continuing. This has had a significant impact on what could be achieved in year.,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 558m. This is primarily due to the following factors.
 There are projects that are not progressing as initially expected due to a review of strategy between leasehold and freehold. The outcome of that review is still awaited but other non-impacted work is continuing. A revised Programme has been proposed and is awaiting approval.",2023.0,Government Transformation and Service Delivery,CO_0133_2223-Q1,2630.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 2630m.
 The current benefts are calcuated based on cost savings the programme produces over it's lifecycle. Capital Projects are working with GPA Finance to develop a new benefits calculator, and with a cross-GPA Working Group we are exploring how best to measure and report on Social Value. The Social Value Portal company have been contracted to support definition of new social value KPIs"
6,National Underground Asset Register,CO,Amber,"NUAR will standardise, centralise and make available privately and publicly owned data from hundreds of organisations about the location of underground utilities assets.

A phased delivery programme includes a minimal viable product (MVP) for North East England, Wales and London, which launched in Spring 2023 (on schedule). The MVP is a major milestone - delivering core functionality and containing data from 80+ public and private sector organisations, including all major energy and water providers. The platform will be iteratively enhanced and rolled out to the remaining areas of England and to Northern Ireland. Good progress is being made onboarding asset owners outside the MVP regions.

Once fully operational across England, Wales and Northern Ireland, NUAR will help improve efficiencies in construction and development, reduce disruption to the public and businesses, improve workers safety and is envisaged to deliver at least 350 million economic growth per year","Compared to financial year 21/22-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 remained at Amber. This is primarily due to the following factors.
The SRO's Delivery Confidence Assessment rating at 22/23-Q4 is Amber, in line with the Gateway 4 Assurance Review conducted by COPO and the IPA in January 2022, due to the challenges of onboarding Asset Owners and the uncertainty around securing necessary legislation. The minimum viable product was delivered on schedule, which included core functionality and data for Wales, North East England and London. We changed the contract to prioritise the highest value Asset Owners (on track), to act as a catalyst for onboarding others, and have engaged with Northern Ireland. We were not allocated a slot for the 4th parliamentary sessions following a bid submission, however we are exploring opportunities for packaging with another bill.",2021-09-01,2024-09-30,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2024-09-30. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2024-09-30. This is primarily due to the following factors. The core functionality of the NUAR service to meet the safe dig use case has now been delivered. Incremental enhancements driven by user feedback will be delivered in the remainder of the programme.82 data sets have been published for the first 3 regions, including all major gas, electricity and water companies. This is envisaged to act as catalyst for all other Asset Owners to be onboarded. We have also fully onboarded 29 out of the remaining 54 high value Asset Owners outside the MVP regions.To date, data has been received from 172 organisations, with 146 DISs agreed and 155 DDAs signed across all regions.We are exploring legislation routes that will underpin the NUAR service offer, mainly through packaging of the NUAR legislation with another bill. The legislation is vital for the programme to deliver its benefits.",10.95,10.1,33.0,"The baseline costs for this year's budget have been amended following the Central Finance Team's supplementals exercise in Cabinet Office. As part of the exercise, the programme exchanged some budgets with the next financial year.
The RDEL underspend is due to the Welsh Government grant not being used, less legal support services than originally forecasted and the lack of need to release the management reserve.
The overspend in CDEL is due to a late capitalisation of expenditure from last year and higher performance of the suppliers than originally forecasted.","Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 decreased from 35m. to 33m. This is primarily due to the following factors.
Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 decreased from 35m. to 33m. This is primarily due to the following factors. The programme has delivered an underspend in this and last financial year, due to lack of requirement of the management reserve, the Welsh Government grant not being used, the legal services requirements being less than forecasted, reduced core resourcing resourcing due to personnel leaving and a couple of late payment milestones delivery by the supplier in the last financial year.The baseline allocation of the programme has reduced as a result of Central Finance pressures and reallocation of budget within the unit.",2023.0,Government Transformation and Service Delivery,CO_0014_2122-Q2,3474.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 3474m.
 An external firm has been appointed to produce an evaluation and monitoring report, as per the FBC commitment to HMT, which will define the benefits measurement methodology and apply it to establish the baseline against which the benefits will be calculated. The outcome of this work is expected to be available in April 2023."
7,Rosa Renewal Project,CO,Green,"The Rosa Renewal Project will ensure HMG continues to have available a pan-departmental secure IT shared service specifically designed for working at SECRET. Project outcomes will deliver much improved service resilience, a modest increase in capacity, new capabilities to meet emerging needs, improvements to usability and effective management of obsolescence . In so doing, it will ensure continued VfM from the original case that underpinned the delivery of Rosa and lay the foundations for future service growth at the point it is needed and affordable. This is the first quarterly report for this project.","The Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 is Green. This is primarily due to the following factors.
The project is currently delivering to time, cost and quality. Risks are well understood and managed. The principal risk concerns ongoing affordability, which is being addressed in two ways: for those making significant contributions, senior engagements continue (and have borne fruit to date); for minor contributors, costs will be added to their annual run cost contributions from Apr 23. With circa 2% of project costs at risk in this way there is no sense of significant risk to overall project delivery.",2022-04-01,2025-03-31,"The project's end-date at 22/23-Q4 is 2025-03-31. This is primarily due to the following factors.
Delivery is on schedule and there are no current indicators that this is likely to change.",0.0,0.0,51.0,The GMPP project did not provide data,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 51m. This is primarily due to the following factors.
 Project WLC covers the essential investment in the current service, explicitly excluding potential project outcomes that are not currently affordable. Funding is provided by those departments that use the service and is in addition to annual running costs for the service. Those departments are satisfied that the project as funded meets their principal priorities and represents VfM.",2023.0,ICT,CO_0210_2223-Q4,205.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 205m.
 In addition to monetised benefits, this project will enable significant non-monetised benefits that will flow from the levels of cyber security provided to key areas of HMG business."
8,Transforming Public Procurement,CO,Amber,"The Cabinet Office has started mobilisation of this programme in 2021/22 which will deliver:
Introduction and delivery of a Procurement Reform Bill, delivery of the implementing secondary legislation and a new oversight unit to monitor compliance.
A comprehensive training package to embed the new procurement procedures and national priorities for public procurement.
New digital systems for commercial data that will bring commercial insight together across the 300bn pa public procurement spend. 

The Benefits from the programme are:

Simpler, faster procurement procedures
A more streamline process backed up by relevant training for users
Greater transparency surrounding procurement procedures","The Senior Responsible Owner's Delivery Confidence Assessment rating at 22/23-Q4 is Amber. This is primarily due to the following factors.
As a result of delays, the programme suffered setbacks in the delivery of key components of the programme along the critical path. This has necessitated the need for a programme re-baseline, which as of May 2023, has been approved and will see the new procurement regime go live in October 2024. . We are confident as a programme team that we can deliver to our policy intent, programme vision and programme benefits to a good standard within this newly allocated time frame.",2021-01-01,2025-03-31,"The project's end-date at 22/23-Q4 is 2025-03-31. This is primarily due to the following factors.
Due to programme wide replanning and authorisation on the re-baseline, the programme end date is now Q1 2026 (where previously it was Q4 2025). Significant work has been undertaken to ensure this milestone is achievable. Regular reporting, including directly to the minister via an overarching level 1 schedule, along with automated planning ensures that any delays can be acted upon accordingly to minimise impact/slippage.",2.14,1.65,35.0,"The project's departmental-agree Whole Life Cost at 22/23-Q4 is 35m. At present the programme's baseline wlc remains the same as when we entered the GMPP in the first quarter of 2022/23. As mentioned previously, due to the re-baseline it is likely this may change our wlc figure. We are currently undertaking a review of the cost impact and will reporton this in the next reporting round.","The project's departmental-agree Whole Life Cost at 22/23-Q4 is 35m. This is primarily due to the following factors.
The project's departmental-agree Whole Life Cost at 22/23-Q4 is 35m. At present the programme's baseline wlc remains the same as when we entered the GMPP in the first quarter of 2022/23. As mentioned previously, due to the re-baseline it is likely this may increase wlc. We are currently undertaking a review of the cost impact.",2023.0,Government Transformation and Service Delivery,CO_0120_2223-Q1,205.0,"The project's departmental-agree monetised benefits at 22/23-Q4 is 205m.
Our benefits figure is 205 million over 10 years as drawn from the published Impact Assessment (see summary on page 4) https://bills.parliament.uk/publications/46429/documents/1767"
9,Vetting Transformation Programme,CO,Red,"The Vetting Transformation Programme is building a workforce with the right skills, fully exploiting technology and implementing a new Vetting standard.  The programme has the following aims: faster clearances, processing times will be reduced by implementing a new single joined-up process eliminating duplication, enabling individuals to be recruited into roles quicker.  Provide a far better user experience, facilitated by frictionless HR, security data sharing and record management.  Clearances will be portable and individuals will move seamlessly between departments.  Ongoing assurance of our people through a cross functional approach to managing employee risk throughout the employee lifecycle, to better ensure the integrity of individuals with privileged access.  Aligning to these outcomes will provide Government departments with a trusted Vetting service adhering to its customers needs and strengthening our international reputation.","Compared to financial year 21/22-Q4, the Delivery Confidence Assessment rating at 22/23-Q4 remained at Red (IPA rating). This is primarily due to the following factors.
It was agreed across departments that the cost for Vetting Transformation will continue to be met by Burden Share.  The programme secured a further 5.1m funding for 21/22 and has so far delivered to plan.  The programme successfully implemented the Airside Accreditation Check by its due date of the 1st January 2022.  Further highlights include the achievement that the proportion of decisions made by UKSV has now increased to c.62%",2019-03-01,2023-03-31,"Compared to financial year 21/22-Q4, the project's end-date at 22/23-Q4 remained schedule to finish on 2023-03-31. This is primarily due to the following factors.
Compared to financial year 21/22-Q4,                                              the project's end-date at 22/23-Q4 remained schedule to finish on 2023-03-31. This is primarily due to the following factors.  The Programmes Delivery Confidence Assessment (DCA) is Red, the baseline that VTP is being measured against relates to the Future Vetting System (FVS) project that effectively closed down in 2021. The Programme team is working on restating those plans (scope/time/cost) following a digital discovery which is currently underway.  Once complete, the Programme will present an Outline Business Case to the Cabinet Office Approval Board in September 2023 and HMT in October 2023 for spend approval for Levels 2&3. If approved, then the programme will be re-baselined. This will ensure going forward the programme is assessed against the correct metrics. The funding from customers for 23/24 has been approved, but the Programme remains dependent on the spend approval.",5.8,11.06,14.0,The budget variance exceeds 5%. The programme has exceeded the anticipated budget as it has been unable to meet the initial timescales for delivery.,"Compared to financial year 21/22-Q4, the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 8m. to 14m. This is primarily due to the following factors.
Compared to financial year 21/22-Q4,                                                      the project's departmental-agree Whole Life Cost at 22/23-Q4 increased from 8m. to 14m. This is primarily due to the following factors.  The whole life cost of the Vetting Transformation Programme has not been rebaselined since it was established in the programmes approved SOC. The programme has spent to forecast in FY21/22",2023.0,Government Transformation and Service Delivery,CO_0028_2021-Q4,,"The project did not provide departmental-agree monetised benefits at 22/23-Q4.
The project did not provide departmental-agree monetised benefits at 22/23-Q4. We do not anticipate any monetised Benefits until April 2024.  We anticipate the following benefits - an increased robustness of vetting, productivity improvements and economic benefits from reducing street to seat times and reducing attrition. Increasing the technological capabilities will reduce the time spent by vetting officers accessing disparate data sources. In creating additional capacity through increased efficiency, we will create a continuous improvement fund which will be used to build a deeper quality of capability across vetting."
