"old_name	new_name"
"MPA RAG rating	colour_rating"
"Description / Aims 	description_aims"
"Description / Aims	description_aims"
"Departmental commentary on actions planned or taken on the MPA RAG rating.	rating_comment"
"Project - Start Date	start_date"
"Departmental commentary on actions planned or taken on the IPA RAG rating.	rating_comment"
"Project - End Date	end_date"
"Project - Start Date 	start_date"
"Departmental narrative on schedule, including any deviation from planned schedule (if necessary)	schedule_comment"
"2013/2014 Budget (｣［illion)	yearly_budget"
"2016/17 TOTAL Baseline ｣［	total_baseline"
"2018/19 TOTAL Baseline ｣［	total_baseline"
"Financial Year Baseline (｣［) (including Non-Government Costs)	total_baseline"
"Project - End Date 	end_date"
"2013/2014 Forecast (｣［illion)	yearly_forecast"
"2016/17 TOTAL Forecast ｣［	yearly_forecast"
"2018/19 TOTAL Forecast ｣［	yearly_forecast"
"Financial Year Forecast (｣［) (including Non-Government Costs)	forecast_incl_NGC"
"2013/2014 Variance (｣［illion)	delete, we can feature engineer this"
"2013/2014 Variance %age	delete, we can feature engineer this"
"Whole Life Cost TOTAL Baseline ｣［	wlc_baseline"
"TOTAL Baseline Whole Life Costs (｣［) (including Non-Government Costs)	wlc_baseline_incl_NCG"
"Total budgeted whole life costs (｣［illion)	wlc_budget"
"Departmental Narrative on Budget / Forecast variance for 2015/16 where more than +/-  5%	variance_comment"
"Departmental narrative on  budget/forecast variance for 2016/17	variance_comment"
"Departmental narrative on  budget/forecast variance for 2018/19	variance_comment"
"Departmental narrative on  budget/forecast variance for 2020/21 	variance_comment"
"Financial Year Variance (%)	delete, we can feature engineer this"
"Departmental narrative on  budget/forecast variance for 2013/14	variance_comment"
"Departmental narrative on  budget/forecast variance for 2014/15	variance_comment"
"Departmental Narrative on Budgeted Whole Life Costs	budget_comment"
"Departmental narrative on  budget/forecast variance for 2021/22 	variance_comment"
"SRO Delivery Confidence Assessment 	colour_rating"
"2014/2015 Budget (｣［illion)	yearly_budget"
"2014/2015 Forecast (｣［illion)	yearly_forecast"
"2014/2015 Variance (｣［illion)	delete, we can feature engineer this"
"2014/2015 Variance %age	delete, we can feature engineer this"
"2015/16 Budget (｣［illion)	yearly_budget"
"2015/16 Forecast (｣［illion)	yearly_forecast"
"Variance Budget / Forecast %age	delete, we can feature engineer this"
"Total budgeted whole life costs (｣［illion) (including Non-government costs)	wlc_baseline_incl_NCG"
"2016/2017 Variance %age	delete, we can feature engineer this"
"IPA Delivery Confidence Assessment	colour_rating"
"2018/2019 Variance %age	delete, we can feature engineer this"
"Annual Report Category	report_category"
"IPA Delivery Confidence Assessment 	colour_rating"
"Project - End Date 	end_date"
"Financial Year Forecast (｣［) (including Non-Government Costs)	forecast_incl_NGC"
"Departmental Narrative on Budgeted Whole Life Costs	budget_comment"
"Financial Year Baseline (｣［) (including Non-Government Costs)	total_baseline"
"TOTAL Baseline Whole Life Costs (｣［) (including Non-Government Costs)	wlc_baseline_incl_NCG"
"Departmental Narrative on Budgeted Whole Life Costs	budget_comment"
"Financial Year Baseline (｣［) (including Non-Government Costs)	total_baseline"
"TOTAL Baseline Whole Life Costs (｣［) (including Non-Government Costs)	wlc_baseline_incl_NCG"
"Departmental Narrative on Budgeted Whole Life Costs	budget_comment"
"TOTAL Baseline Benefits (｣［)	benefits_baseline"
"Departmental Narrative on Budgeted Benefits	benefits_comment"
