Unnamed: 0,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
1,FE Capital Investment Programme,BIS,Amber/Green,"To renew and modernise the FE College estate with modern, versatile buildings, facilities and industry standard equipment; through a well managed, benefit/value-focused programme; offering learners high quality learning environments in line with the FE College Capital Investment Strategy (December 2012) and Ministerial priorities","MPA RAG rating as at 30 September 2013 was Amber/Green. The programme is well established and operates using tried and tested systems, processes and arrangements. Ministers are supportive of the programme and the sector is fully engaged.",31/05/2010,01/09/2015,The first MPA Annual Report in May 2013 stated the project end date as the end of the financial year for which funding is available. The end date shown this year 01/09/15 is the date by which the last of the programme funded projects will become operational,450.37,450.37,5609.46,"Programme is currently forecasting a balanced budget. Following the SR announcements relating to the transfer of FE Capital to the Local Growth Fund which would restrict funding commitments to 2013-14 and 2014-15, the Agency are developing further initiatives to maximise investment in the sector in line with the published Strategy. ","Whole life costs include over 50% contribution from non government sources, including college reserves, borrowing and disposal proceeds. Since the first MPA Annual report in May 2013 the programme has received an additional Ĺ550m to invest across 13/14 and 14/15. At Q2 this additional funding had been allocated to colleges across a mixture of detailed applications and expressions of interest. The additional WLC is therefore made up of a combination of capital grant and college contributions. 
",2014.0
2,The Francis Crick Institute (formerly UKCMRI),BIS,Amber/Green,"The Francis Crick Institute (formerly UKCMRI) is a joint venture between the UK's largest biomedical research and academic institutions: The Medical Research Council (MRC), Cancer Research UK (CRUK), the Wellcome Trust, University College London,  Kings College, London and Imperial College, London.  A new research Institution will be established involving the construction of a new facility located close to St Pancras station, London.  This facility will accommodate 1,268 scientists when fully operational.  The National Institute for Medical Research (NIMR) will be closed.  This NIMR site at Mill Hill and the National Temperance Hospital site will be disposed of as part of this project.  The project aims are: Sustain UK's position as a leader in biomedical research; Engagement with the most challenging research questions; A scale to compete with major new overseas developments; Promote the health of the public and wider UK economy; Address key concerns of 2006 Cooksey review on publicly-funded healthcare research; Excellent training environment for biomedical research.","The Amber/Green status reflects the good progress that has been made in terms of progress to time, cost and quality.  Good progress has been made on the on going transition element of the project.Â The MRC Monitoring Committee reviews progress at its monthly meeting.",01/10/2006,21/12/2017,The Project remains on schedule for completion by the forecast end date.,112,112,753,No departmental narrative ,"The Total (WLC) cost for the Crick project is circa Ĺ753m.  This is funded by six partners; Medical Research Council (MRC), Cancer Research UK (CRUK), Wellcome Trust (WT), University College London (UCL), Kings College London (KCL) and Imperial college London (ICL).  The funding proportions are; MRC - Ĺ253m towards construction costs, Ĺ30m for transition costs in the move from NIMR to the Crick and Ĺ47m towards land costs. The remaining Ĺ423m is provided by CRUK,WT,UCL,KCL and ICL.",2014.0
3,Green Investment Bank,BIS,Green,"To build a green investment bank, to accelerate a transition to a green economy, by engaging in activities which the companyÂs board considers will, or are likely to, facilitate the development or expansion of  businesses; enterprises; industries; infrastructure; projects or technologies which, in the opinion of the board of the company, have an environmentally beneficial objective, such as  facilitating the reduction in greenhouse gases; improving resource efficiency or protecting and enhancing the natural environment. ","GIB became fully operational in October 2012 following receipt of state aid approval. It has since made commitments of Ĺ1.3bn, and mobilised more than three times that amount in private capital. ",01/06/2010,01/09/2012,No departmental narrative,0,0,278,No departmental narrative ,No departmental narrative ,2014.0
4,HE Reform Programme,BIS,Amber/Green,"To put higher education funding on a sustainable footing from September 2012 by shifting public spending away from teaching grants towards repayable tuition fee loans and contribute to eliminating the economic deficit while maintaining high quality in higher education. This overarching objective is supported by a number of subsidiary objectives with the following key deliverables:

Â Generation of Ĺ3 billion savings annually by 2014-15 
Â A single regulatory framework by Academic Year (AY)15/16 
Â Quality of HE provision maintained or improved from AY11/12 levels
Â Successful launch of the annual student support application cycle
Â An agreed Communications and Stakeholder Engagement Strategy and Plan",The Amber/Green status reflects that student numbers appear to be recovering this year after a fall in the first year of the new regime.  New regulatory requirements for alternative providers have been introduced to strengthen protections in the absence of primary legislation. The Programme is nearing its closure point and we are moving activities increasingly into Business As Usual. Action has been taken to ensure continued good governance to oversee risks and issues and stewardship of benefits realisation on a continuing basis.,30/06/2011,31/12/2015,No departmental narrative,970,1180,4600,"HE Reform affects academic year 2012/13 onwards, with the system changes reaching full implementation by 2015/16. The assessment of the long-term resource cost of loans has increased since the original cost estimates were made, primarily because the Ĺ21,000 repayment threshold for 2016 will now be more generous than originally planned due to lower than typical earnings growth. The budget figures reflect the original costs of the reforms and the forecast/actuals the current assessment of the costs. The original decisions on the reforms were taken in Spending Review 2010 and the assessment of costs and benefits used to justify the reforms were set out in the June 2011 Impact Assessment ""Higher Education: Students at the Heart of the System"".  The current assessment of costs is consistent with estimates available during Spending Round 2013. Any increase in costs above Departmental budgets will be resolved as part of annual discussions with HM Treasury.","The financial benefits are the savings to HEFCE teaching grant that result from the reforms within the timeframe from first year of change through to full implementation in 2015-16. The net present value is from the HE White Paper Impact Assessment, and shows the discounted net costs (a saving) to Government. This has not yet been reviewed but is likely to fall as a result of the increase in the estimated resource cost of the new student loan outlay. We will review this estimate once we are in a position to review the expected cash outlay on loans using final 2012/13 academic year data.",2014.0
5,Royal Mail Sale of Shares,BIS,Amber,"To sustain the universal postal service for the benefit of all users by securing Royal MailÂs future through the introduction of private sector capital and associated commercial disciplines. 
This will be achieved through: 
i) delivering a sale of shares of Royal Mail within this Parliament;
ii) creating an employee share scheme that, as decided by Parliament, will lead to at least 10% of the company in employee ownership to drive strengthened employee engagement; 
iii) delivering a financial outcome for the taxpayer, which when considered in the context of the overarching policy objective, represents overall value for money.
","The Amber status reflects the view that the project was being managed effectively but significant external risks threatened successful completion - namely market conditions and industrial relations.  Extensive monitoring and contingency planning  were undertaken to manage potential risk materialisation, and a plan was put in place for decision-making and auditing of key decisions in the run-up to the sale of shares. Post-IPO the department has defined  the division of responsibilities between the policy and shareholder teams and  added measurement of benefits  to the ongoing role of the policy team. The project  closed in October 2013 and a lessons learned document has been  developed  which will include consideration of how the skills developed by the project team could be deployed on similar projects elsewhere within Shareholder Executive and more widely across Government.  ",01/04/2012,17/10/2013,"The Project start date is given as June 2011, which is when the Postal Services Act 2011 received Royal Assent.  However, the sale of shares project was not launched until FY 12/13, following successful implementation of the other parts of the Act. ",380,350,31.2,"Forecast costs of Ĺ350m include estimated cost of the employee free shares scheme (Ĺ300m) and execution costs (Ĺ50m). The final cost of the employee free shares scheme was Ĺ330m, with the variance due to HMG achieving a higher IPO share price than was originally estimated in the GMPP return.   The final figure for IPO execution costs was Ĺ27.1m.  

","Only the non-Government spend is classified as 'budgeted whole-life costs'. These are costs met by Royal Mail in relation to their own advisory work to prepare for the sale of shares, and also BIS adviser fees that were recovered from the company by the Department.  The Government recovered Ĺ4.8m from Royal Mail to cover transaction-related adviser fees incurred in 2012/13 and 2013/14 (this is separate to the fees associated with execution of the IPO itself which are described above and were borne by the Department). ",2014.0
6,BIS Shared Services,BIS,Amber,"A shared service solution for the BIS network will:  
- deliver a structural reduction in the cost base;
- provide simpler, transparent and more integrated processes across the BIS family of organisations; and
- secure continuous cost and process improvement through innovation and the application of a professional business focus.

Shared services enables wider business transformation. Greater benefits will be realised as the service matures beyond transactional services to higher value ones. There are opportunities for shared services to support:
- strategic procurement with effective compliance Â managing the >Ĺ1bn contract expenditure of BIS and partners much more effectively, to deliver savings that could dwarf those from consolidating transactional services
- real benefits from Clear Line of Sight Â so that rather than being an initiative about consolidating end-year accounts, it can underpin strategic management of BIS and its partners with timely, accurate, valued and well-aligned financial management information","The Amber status reflects  the challenges faced with the continued movement of partner organisations to the new service during Phase 1, and finalising the timetable for future BIS Partner Organisations involved in Phases 2 & 3.
In order to reduce the risk of delaying the on-boarding of clients (that have a higher level of readiness to others), a decision  was taken to develop individual business cases for organisations identified for inclusion in the latter stages of the programme. 
The programme remains fully resourced and achieved   go-live in October 2013.
",04/05/2011,01/04/2014,"The project end date should read 01/04/15 (as per the Q2 2012/13 GMPP report).



Additional scope was incorporated into the programme in 2012, in line with the objectives of the Civil Service Reform programme.  The later project end date is an indicative date reflecting the enlarged scope of the programme.  Given that work is being progressed under business cases dedicated to individual organisations, the end date cannot be finalised until all business cases have been completed.
",3.785,3.785,19.27,N/A ,"The variance in whole life cost is a result of the enlarged scope.  The original forecast for phase 1 was Ĺ12.74m (of which Ĺ0.8m was capital).

Phase 1A requires an additional Ĺ1.5m to support increased costs of delivery relating to the system security requirements.  Two organisations also have deferred go live dates (Insolvency and IPO) to February 2014 and additional costs of Ĺ0.3m are expected.

The expected costs of phase 2 are expected to be Ĺ3.7m and phase 3 Ĺ1.1m",2014.0
7,SLC Transformation Programme,BIS,Amber,"The SLC Transformation Programme supports the Coalition's programme for Government.   The objectives of the programme respond to a number of challenges including the  reforms introduced in the White Paper ""Students at the Heart of the System"". Over the next three years the SLC anticipates major increases in student numbers, and loan values and volumes.  The student experience at present is very poor, due to operational and technology issues including lack of availability of complete case information and the time delay between the issue of evidence by students to the completion of the application process at times of high demand.  Due to the limited technology update over the last few years the current system needs replacement.  A robust and agile customer-centred student finance system is required.   Introduce a modern, integrated and flexible IT system to enable the safe delivery of HE reform (including changes to borrowersÂ repayment terms including variable interest rates).
Â Enhance customer service and operational efficiency.
Â Support the transformation of SLCÂs business through introduction of a unified technology platform and the standardisation of processes.

Expected benefits:

Â Improved customer experience: easier access to real time information, additional communication channels and a reduction in incomplete calls, etc;

Â Operational efficiencies:  increased process automation, reducing avoidable contact and standardisation of workflows; 

Â Strategic fit: alignment of the programme with Government ICT strategy as well as with the strategic direction taken by SLC.

Â Financial benefits to Government: ensuring HE reform-related savings, agreed as part of the Comprehensive Spending Review, are realised; potential for increasing the value of the loan book and an increase in the recovery of student debts;

Â ICT efficiencies: introduction of a unified business technology platform, the use of standard technology and the ability to use more agile development approaches","The Amber status reflected the requirement to have more detailed plans in place from Transformation Partners and programme work-streams. 
Detailed planning sessions are planned to l enable the development of a baseline delivery roadmap which will then be used to refresh the delivery plan , budget and team structures. This roadmap will continue to be refined. 
Resource capacity has been highlighted as a challenge - action plans are being put in place to manage this challenge. A resourcing governance process has been agreed, defined and implemented.
",01/03/2012,19/03/2016,No departmental narrative,19.86,19.86,139.13,Underspend against FBC estimates in FY 13-14 due to later than planned contract finalisation and subsequent delay to the start of the delivery of the core banking implementation. ,Whole of life costs are still anticipated to be within FBC estimates - however work is ongoing to  verify these. The costs include replacement of core systems and business and technical transformation.  Figures reported in 2013/14 were provided before the full business case had been finalised and the figures approved. Therefore that Ĺ131.91m figure was an estimate and Ĺ139.13m was the figure agreed in the Business Case.,2014.0
8,ICR Monetisation,BIS,Amber/Red,"HM Government is  carrying out a programme of asset sales with the purpose of reducing public sector net debt (ÂPSNDÂ). The Government has announced intentions to sell the pre-Browne Income Contingent Repayment (ICR) student loan book to contribute to this objective and to realise value to the taxpayer.  This loan book will be sold in a series of tranches over a number of years.  The first tranche of loans is expected to be sold by 2015-16.  As is normal with transactions of this type, there will be a value for money assessment made before each sale. Each sale is required to meet the value for money assessment as well as other key project objectives to be considered a success.  Failure to meet objectives will result in a decision not to sell.

","Actions being taken to address the Amber/Red rating include the Project Steering Group assessing and confirming the delivery capability of key partners. Following agreement that the Go/No-Go criteria (required to continue with phase two of the project) has been met the Project will undertake work to further define its objectives, establish more robust plans, governance and project management disciplines, and appoint experienced external advisers to assist on the project.  ",01/03/2010,31/12/2018,Previously an end date reflecting the end of the feasibility study was provided.  The project has now moved from a feasibility study into delivery phase including sale preparation and sale phases and timescales have been revised to reflect this.  The proposed end date reflects the completion of a series of tranches being sold over a number of years.,5.5,5.5,28.61,No departmental narrative ,"Previously, the whole life costs provided  reflected the costs of the feasibility study.  The project has now moved into a delivery phase and the revised costs reflect the costs for the whole project, including sale preparation and sale phase.  The costs reflect that there will be a series of tranches sold over a number of years.",2014.0
9,Urenco Future Options,BIS,Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),"The Government has adopted a policy of asset disposal where there is no longer a good case in public policy terms for continued public ownership.  On that basis, the Department of Energy and Climate Change (DECC), with commercial advice and support from the Shareholder Executive, are taking  forward preparations for a sale of HMGÂs one-third shareholding in Urenco, a uranium enrichment company.  A sale could realise significant proceeds which have, in part, been earmarked to capitalise the Green Investment Bank in 2014/15. The project was transferred to BIS (in the Shareholder Executive) through a Machinery of Government change in February 2013. 

",Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),01/02/2010,Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),5.889,4.092,18.416,"13/14 forecast represents the estimated cost of administering the sales process, including use of expert advisers for the FY13/14 year as at September 2013. ","Whole life costs represent the cumulative total of the annual allocated budgets and do not represent estimated spend. This will be materially lower, as a significant portion of each year's allocated budgets may be unused, and consequently rolled over. Each annual budget represents the estimated cost of administering the sales process, including use of expert advisers",2014.0
10,Further Education 24+ Learning Loans Programme,BIS,Amber/Red,"To Introduce loans for those aged 24 or over, undertaking provision at Level 3 and above from 2013/2014. The project will allow savings to be realised through the conversion of grant to loan funding while still allowing access to advanced and higher level provision . Introduction of loans should put greater power into the hands of learners, creating a more responsive system. System should be simple and non-bureaucratic , representing good value for money and making use of HE infrastructure to minimise disruption and facilitate progression.                                                                                                                                                                                                    ","The Amber/Red rating reflected the fact that there were initially concerns that the loans payments system would not be launched on time and there were aspects of the system that had defects.  Whilst overall takeup of loans was strong at the time generally there were areas where take-up was very low, one being apprenticeships. Robust plans were put in place and contingencies used to ensure successful launch and rectify defects. It was also decided that apprenticeships be removed from loans. Due to both the successful removal of apprenticeships and launch the programme officially closed on the 24th October 2013.",30/11/2010,31/10/2013,No departmental narrative,83.65,84.604,572.291,No departmental narrative ,No departmental narrative ,2014.0
