Project name,FE Capital Investment Programme,The Francis Crick Institute (formerly UKCMRI),Green Investment Bank,HE Reform Programme,Royal Mail Sale of Shares,BIS Shared Services,SLC Transformation Programme,ICR Monetisation,Urenco Future Options,Further Education 24+ Learning Loans Programme,Business Bank Project,Catapult Centres,National Cyber Security Programme,Civil Service Reform Programme,Electoral Registration Transformation Programme,Next Generation Shared Services,New Civil Service 2015 Pension Scheme Implementation,Public Services Network Programme,National Citizen Service,G-Cloud Programme (covers Data Centre Consolidation and Application Store),CONNECT Project (formerly ICT Relet Project),The Future of Local Audit,Enterprise Zones Programme,Broadband Delivery Programme,Urban Broadband Fund - Super-connected City Initiative,Spectrum Clearance and Awards Programme,The Tate Modern Project,World Conservation and Exhibitions Centre,Mobile Infrastructure Project,Green Deal,Magnox & Research Sites Restoration Ltd  Parent Body Organisations  Competition,New Nuclear Programme,Renewable Heat Incentive,Smart Meters Implementation Programme,FID Enabling for Hinkley Point C,FID Enabling for Renewables,Carbon Capture & Storage Commercialisation Programme,Dounreay Parent Body Organisation (PBO) - Delivery Phase,Electricity Market Reform Programme,Geological Disposal Facility Programme (GDF),Thames Tideway Tunnel,Thames Estuary Programme Phase 1 (TEP1),CAP Delivery Programme (formerly the Future Options Programme),Priority School Building Programme,Building Schools for the Future (BSF),St Helena Airport,Intercity Express Programme (IEP),Crossrail,Thameslink,Periodic Review 2013 (Rail Investment Strategy - HLOS & SOFA),"Thameslink, Southern, Great Northern Franchise Competition","London, North East and Scotland Franchise Competition",Essex Thameside Franchise Competition,ICT Contract Let Procurement Programme (CLPP),A14 Cambridge to Huntingdon Improvement Scheme,Search & Rescue Helicopters (SARH),High Speed Rail Programme,Shared Services Implementation Programme,E&N Herts NHS Trust - LIFT scheme - new QEII hospital in Welwyn Garden City,Mersey Care NHS LIFT scheme (TIME - To Improve Mental Health Environments),PHE Science Hub,Royal National Orthopaedic Hospital (RNOH) NHS Trust PFI Project,Royal Liverpool & Broadgreen ('World Class Hospitals; World Class Services - Renewing the Royal Liverpool University Hospital'),Sandwell and West Birmingham Hospitals NHS Trust - The Midland Metropolitan Hospital Project,"Brighton & Sussex University Hospitals NHS Trust (3Ts Programme - The development of a leading teaching, trauma and tertiary care centre)",Broadmoor Redevelopment Programme,E&N Herts NHS Trust - Lister Hospital ('Our Changing Hospitals' Phase 4 Programme),Pre-Pandemic Vaccine,Rotavirus Immunisation Programme,Shared Services Programme,Shingles Immunisation Programme,Health and Care Modernisation Transition Programme,Health Visitor Programme,Electronic Prescription Service (EPS) Release 2,General Practice System of Choice (GPSoC) Replacement,London Programme for IT,NHS e-Referral Service,NHSmail2,NME Programme For IT,Public Services Network for Health (PSNH),Summary Care Record (SCR),South Acute Programme,Southern Programme for IT,Spine 2,Spine Extension,N3 Extension,NHSmail Service,CAB Variation,Liaison and Diversion Programme,Seasonal Flu Extension to Children Programme,IMS3,National Pandemic Flu Service,National Proton Beam Therapy (PBT) Service Development Programme,Benefit Cap,Child Maintenance Group Change,Central Payment System,"Fraud, Error and Debt Programme",Incapacity Benefit Reassessment,Personal Independence Payment Implementation,Specialist Disability Employment Programme,State Pension Reform - Single Tier,Universal Credit Programme,Work Programme,Youth Contract,Automatic Enrolment Programme (originally called Enabling Retirement Savings Programme),ABUJA: New Office and Residence,JAKARTA: New Embassy,ICT Re-procurement,UKERP,Echo,One Click,Organised Crime,Wider Coverage Project,Debt Staff Reinvestment,Volume Crime,Real Time Information (RTI),Expanding the use of Debt Collection Agencies,Digital Solutions Portfolio,Equitable Life Payment Scheme,Communications Capabilities Development programme,Commercial and Operating Managers Procuring Asylum Support Services (COMPASS),Disclosure & Barring Programme (formerly SIG Convergence Programme),Harmondsworth and Colnbrook Retender ,Immigration and Asylum Biometric System (IABS),PND (IMPACT),National Crime Agency (NCA),Next Generation Outsourced Visa (NGOV) Services Contract ,Police ICT Company Programme,Schengen Information Systems (SIS) II Programme,Transforming the Customer Experience (Formerly A&E),Tinsley House Immigration Removal Centre Expansion,Emergency Services Mobile Communications Programme (ESMCP),Border Systems Programme,Spearfish Upgrade (SFU) Programme,CHINOOK (incl Project Julius),Queen Elizabeth Programme,Core Production Capability,Complex Weapons,End Crypto Units (ECU),Joint Combat Aircraft (Lightning),Maritime Sustainment Programme,Mounted Close Combat,Merlin Programme,Nuclear Warhead Capability Sustainment Programme,Puma Helicopter Life Extension Programme,CROWSNEST programme,A400M,Successor SSBN,The Material Strategy,Type 26 Global Combat Ship (T26 GCS),Type 45 Destroyers,Wildcat,WATCHKEEPER,Typhoon,Airseeker,Astute Boats 1-7,Whole Fleet Management,Corporate Services Systems Convergence Programme,Carrier Enabled Power Projection (CEPP),Corporate Services Transformation Programme,Defence Core Network Services,Defence Information Infrastructure,Defence Infrastructure Transformation Programme,Defence Reform Programme,Future Reserves 2020,Logistics Commodities Services Transformation,New Employment Model,Next Generation Estates Contracts,Submarine Enterprise Performance Programme,Army Basing Programme,Army 2020,MARSHALL,BORONA,Prison Unit Cost Programme,Rehabilitation Programme,Transforming Youth Custody,New Prison -Wales,Common Platform,HMCTS Compliance & Enforcement Services Project,Court Estates Reform,Electronic Monitoring,Integrated Delivery Programme,Future IT Sourcing Programme (FITS),Legal Aid Reform Implementation,MoJ Shared Services,NOMS Organisational Restructure Programme,NOMS ICTS Services (NIS) Programme (formally part of Quantum Re-compete Project),Prison Competitions Phase 2,National Offender Management Information Systems (NOMIS) Programme,CJS Efficiency Programme Phase 2,HMCTS Reform,Legal Aid Transformation,ISOT Programme,Yoda Project (Outsourced Services Retender Project),ESA10/BPM6 Programme (European Systems of Accounting 2010),2011 Census,Electronic Data Collection (EDC),Web Data Access (WDA) Project,Beyond 2011 Programme,
Department,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,CO,CO,CO,CO,CO,CO,CO,CO,DCLG,DCLG,DCLG,DCMS,DCMS,DCMS,DCMS,DCMS,DCMS,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DEFRA,DEFRA,DEFRA,DfE,DfE,DfID,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DoH,DOH,DoH,DoH,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,FCO,FCO,FCO,FCO,FCO,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMT,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MOD,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MOJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,NCA,NS&I,ONS,ONS,ONS,ONS,ONS,
"MPA RAG rating
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red – Amber/Red – Amber – Amber/Green – Green; definitions in the MPA Annual Report)",Amber/Green,Amber/Green,Green,Amber/Green,Amber,Amber,Amber,Amber/Red,Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),Amber/Red,Amber/Green,Amber/Green,Amber/Green,Amber,Amber,Amber/Red,Amber,Amber,Amber,Amber/Red,Amber/Green,Amber,Amber/Green,Amber ,Amber/Red,Amber/Green,Amber/Red,Amber/Green,Amber/Green ,Data exempt under Section 35 of the Freedom of Information Act (2000),Amber/Green,Data exempt under Section 43 and Section 35 of the Freedom of Information Act (2000),Amber,Amber,Data exempt under Section 43 and Section 35 of the Freedom of Information Act (2000),Data exempt under Section 43 and Section 35 of the Freedom of Information Act (2000),Amber,Green,Data exempt under Section 43 and Section 35 of the Freedom of Information Act (2000),Amber,Amber/Red,Amber/Green,Amber,Amber,Amber/Green,Amber,Amber/Green,Amber/Green,Amber/Green,Amber/Green,Amber,Amber,Amber/Red,Amber,Amber,Amber/Green,Amber/Red,Amber,No DCA,No DCA,Amber/Red,No DCA,No DCA,No DCA,No DCA,No DCA,No DCA,Green,Green,Amber,Amber/Green,Amber/Red,Amber/Red,Amber/Red,Amber,Amber/Green,Amber/Red,Amber,Amber,Red,Amber/Green,Amber,Amber/Green,Amber,Amber/Green,Red,Green,Amber/Red,Amber/Red,Amber/Red,Amber/Green,Amber,Amber/Red,Amber/Green,Amber/Green,Green,Amber/Red,Green,Amber/Red,Amber,Amber/Red,Reset,Amber,Amber/Green,Amber,Amber,Amber/Green,Amber,Amber,Amber/Green,Amber/Green,Amber,Amber/Green,Amber/Green,Green,Amber,Amber/Green,Amber,Amber,Amber/Red,Amber/Green,Amber/Red,Amber/Green,Green,Amber/Red,Amber/Green,Amber/Green,Date exempt under section 43 of the Freedom of Information Act (2000),Amber,Amber,Amber/Green,Amber/ Red,Amber/Red,Exempt under Section 43(2) of the Freedom of Information Act (2000),Amber,Red,Green,Amber,Exempt under Section 26 of the Freedom of Information Act (2000),Amber,Green,Amber/Green,Amber/Green,Exempt under Section 24 of the Freedom of Information Act (2000),Amber/Green,Exempt under Section 43 of the Freedom of Information Act (2000),Amber/Green,Amber/Green,Amber,Exempt under Section 43 of the Freedom of Information Act (2000),Green,Amber/Red,Amber/Red,Amber/Green,Amber,Amber,Amber,Amber,Amber/Red,Amber/Green,Amber/Red,Amber/Red,Amber,Amber/Green,Amber/Red,Exempt under Section 43 of the Freedom of Information Act (2000),Amber/Green,Amber,Amber,Amber/Green,Amber,Exempt under Section 43 of the Freedom of Information Act (2000),Amber,Amber/Green,Exempt - Section 43(2) of Freedom of Information Act 2000 (Prejudice to Commercial Interests) ,Amber,Green,Amber/Red,Amber,Green,Amber/Red,Amber,Amber,Green,Amber/Red,Green,Amber,Amber,Amber/Green,Amber,Amber/Red,Amber,Red,Green,Amber,Amber/Green,Amber/Red,Amber/Green,Amber/Green,
