Project name,BIS Shared Services,Business Bank Project,Further Education 24+ Learning Loans Programme,ICR Monetisation,Project Eagle (formerly Urenco Future Options),SLC Transformation Programme,The Francis Crick Institute (formerly UKCMRI),Electoral Registration Transformation Programme,National Citizen Service,National Cyber Security Programme,New Civil Service 2015 Pension Scheme Implementation,Next Generation Shared Services,ICT Procurement Programme,Enterprise Zones Programme,The Future of Local Audit,Broadband Delivery Programme,Mobile Infrastructure Project,The Tate Modern Project,Urban Broadband Fund - Super-Connected City Initiative,World Conservation and Exhibitions Centre,Carbon Capture & Storage Commercialisation Programme,Dounreay Parent Body Organisation (PBO) - Delivery Phase,Electricity Market Reform Programme,FID Enabling for Hinkley Point C,FID Enabling for Renewables,Geological Disposal Facility Programme (GDF),Household Energy Efficiency ,Magnox & RSRL PBO Competition,Renewable Heat Incentive,Smart Meters Implementation Programme,CAP Delivery Programme,Thames Estuary Programme Phase 1 (TEP1),Thames Tideway Tunnel,Building Schools for the Future (BSF),Priority School Building Programme - Private Finance,Priority School Building Programme - Capital,St Helena Airport,A14 Cambridge to Huntingdon Improvement Scheme,Crossrail,High Speed Rail Programme,Intercity Express Programme (IEP),Periodic Review 2013 (Rail Investment Strategy - HLOS & SOFA),Rail Franchising Programme,Search & Rescue Helicopters (SARH),Shared Services Implementation Programme,Thameslink,Better Care Fund,"Brighton & Sussex University Hospitals NHS Trust (3Ts Programme - The development of a leading teaching, trauma and tertiary care centre)",Broadmoor Redevelopment Programme,BT LSP (London),BT LSP (South),care.data,Care and Support Implementation Programme,Childhood Flu Immunisation Programme,CSC LSP Delivery Programme,Death Certification,E&N Herts NHS Trust - Lister Hospital ('Our Changing Hospitals' Phase 4 Programme),Electronic Prescription Service (EPS) Release 2,Francis & Compassionate Care programme,General Practice System of Choice (GPSoC) Replacement,Genomics Programme,Health Visitor Programme,Liaison and Diversion Programme,Mersey Care NHS LIFT scheme (TIME - To Improve Mental Health Environments),National Pandemic Flu Service,National Proton Beam Therapy (PBT) Service Development Programme,NHS Choices,NHS e-Referral Service,NHS Electronic Staff Record Reprocurement Project,NHS Pension Re-let Project,NHS Procurement Efficiency Programme,NHSmail2,North Tees & Hartlepool Foundation Trust - New Hospital Development,Nursing Technology Fund,Papworth Foundation Trust - New Papworth Hospital,PHE Science Hub,Pre-Pandemic Vaccine,Health and Social Care Network (Formerly Public Services Network for Health (PSNH)),Rotavirus Immunisation Programme,Royal Liverpool & Broadgreen ('World Class Hospitals; World Class Services - Renewing the Royal Liverpool University Hospital'),Royal National Orthopaedic Hospital (RNOH) NHS Trust PFI Project,Sandwell and West Birmingham Hospitals NHS Trust - The Midland Metropolitan Hospital Project,Shingles Immunisation Programme,South Acute Programme,Spine 2,Summary Care Record (SCR),SUS Transition,Automatic Enrolment Programme,Child Maintenance Group Change,Conditionality Package,Estates Programme,Fit for Work (previously called Health and Work Service),"Fraud, Error and Debt Programme",Help to Work Package,IT Transformation Programme,New State Pension Project,Personal Independence Payment Programme,Universal Credit,ABUJA: New Office and Residence,ICT Re-procurement,Overseas Healthcare Provision,UKERP,Debt Staff Reinvestment,Digital Solutions Portfolio,Expanding the use of Debt Collection Agencies,One Click,Organised Crime,Real Time Information (RTI),Tax-Free Childcare,Volume Crime,Equitable Life Payment Scheme,Adelphi Modernisation Project,Communications Capabilities Development Programme,Digital Services at the Border,Disclosure and Barring  Service (DBS) Programme,Emergency Services Mobile Communications Programme (ESMCP),Harmondsworth and Colnbrook Retender,Immigration Platform Technologies (IPT),Next Generation Outsourced Visa Services Contract,Technology Reset Programme (TRP),Schengen Information System (SIS II) Programme,Transforming the Customer Experience (Formerly A&E),A400M,Airseeker,Army 2020,Army Basing Programme,Astute Boats 1-7,BORONA,CEPP,CHINOOK (incl Project Julius),Complex Weapons,Core Production Capability,Corporate Services Systems Convergence Programme,Crowsnest Programme,Cryptographic Enabling  Services,Defence Core Network Services,Defence Information Infrastructure,Future Reserves 2020,Head Office and Customer Design,Lightning II Programme,Logistics Commodities Services Transformation,Maritime Sustainment Programme,MARSHALL,Merlin Programme,Mounted Close Combat,Next Generation Estates Contracts,New Employment Model,Nuclear Warhead Capability Sustainment Programme,Operating Model Rollout,Puma Helicopter Life Extension Programme,Queen Elizabeth Programme,Spearfish Upgrade Programme,Strategic Business Partner Implementation Programme,Submarine Enterprise Performance Programme,Successor SSBN,The Materiel Strategy,Type 26 Global Combat Ship Programme,Typhoon,Wildcat,WATCHKEEPER,Whole Fleet Management,Court Estates Reform,CJS Efficiency Programme Phase 2,Common Platform,Crime Change Programme,Electronic Monitoring,Future IT Sourcing Programme (FITS),HMCTS Compliance & Enforcement Services Project,HMCTS Reform,Integrated Delivery Programme,Legal Aid Reform Implementation,Legal Aid Transformation,MoJ Shared Services,New Wales Prison,NOMS ICTS Services (NIS) Programme (formally part of Quantum Re-compete Project),Prison Competitions Phase 2,Prison Unit Cost Programme,Rehabilitation Programme,Transforming Youth Custody,NCA Information and Communications Technology (ICT) Modernisation Programme (was SOCA ISOT),Novo Programme,YODA Project (Outsourced Services Retender Project),2011 Census,Beyond 2011,Consumer and Retail Prices Indices (CPI/RPI) Re-engineering,Electronic Data Collection,ESA10/BPM6 Programme (European Systems of Accounting 2010),Web Data Access (WDA) Project
Department,BIS,BIS,BIS,BIS,BIS,BIS,BIS,CO,CO,CO,CO,CO,CPS,DCLG,DCLG,DCMS,DCMS,DCMS,DCMS,DCMS,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DECC,DEFRA,DEFRA,DEFRA,DfE,DfE,DfE,DfID,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DfT,DoH Non Capital,DoH Capital,DoH Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Capital,DoH Non Capital,DoH Capital,DoH Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Capital,DoH Capital,DoH Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DoH Non Capital,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,DWP,FCO,FCO,FCO,FCO,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMRC,HMT,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,HO,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoD,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,MoJ,NCA,NCA,NS&I,ONS,ONS,ONS,ONS,ONS,ONS
"MPA RAG rating
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red – Amber/Red – Amber – Amber/Green – Green; definitions in the MPA Annual Report)",Amber,Amber/Green,Amber/Green,Amber,Amber/Red,Amber/Red,Amber/Green,Amber/Green,Amber/Green,Green,Amber,Amber/Red,Amber,Amber,Amber,Amber/Green,Amber/Red,Amber/Red,Amber,Green,Amber,Green,Amber,Data exempt under Section 43(2) of the Freedom of Information Act (2000),Amber,Amber,Amber/Red,Amber/Green,Amber,Amber,Amber/Red,Green,Amber/Red,Green,Amber/Red,Amber/Red,Amber/Green,Amber/Green,Amber/Green,Amber/Red,Amber/Green,Green,Amber,Amber/Green,Amber/Red,Amber,Amber/Red,Amber/Green,Green,Amber/Red,Amber/Red,Red,Amber/Red,Amber,Amber/Red,Red,Amber/Green,Amber,Amber/Red,Amber,Amber,Amber,Amber,Amber/Green,Red,Amber,Red,Amber,Amber/Green,Amber/Red,Amber/Red,Amber,Green,Amber,Amber/Green,Amber,Amber/Red,Red,Green,Green,Green,Amber/Green,Green,Amber/Green,Amber,Amber,Amber/Red,Amber,Amber/Green,Amber,Amber/Green,Amber,Amber,Amber,Amber/Red,Amber,Amber/Red,Amber/Red,Amber/Green,Amber/Red,Amber/Green,Amber/Green,Green,Amber,Green,Amber/Green,Amber/Green,Amber/Green,Amber/Red,Green,Green,Amber,Amber,Amber,Amber,Amber,Green,Amber,Green,Amber/Red,Amber/Red,Amber/Green,Amber/Green,Amber/Green,Amber,Red,Amber/Red,Amber/Green,Amber/Red,Amber/Green,Amber,Amber,Amber,Green,Exempt under section 26 of the Freedom of Information Act (2000),Amber/Red,Amber/Red,Red,Amber,Amber,Amber,Amber/Green,Amber,Green,Amber,Amber/Green,Amber,Exempt under section 24 of the Freedom of Information Act (2000),Amber/Green,Amber/Green,Amber/Red,Amber/Green,Green,Amber,Amber/Red,Amber/Red,Exempt under section 43 of the Freedom of Information Act (2000),Amber/Green,Amber/Green,Amber/Green,Amber,Green,Amber,Amber/Red,Amber/Green,Amber,Amber,Amber/Green,Amber/Red,Amber,Green,Amber,Amber,Green,Red,Green,Amber,Amber/Red,Amber,Amber/Red,Amber,Green,Green,Amber/Green,Amber,Amber,Amber/Green,Green
