GMPP ID Number;MOD_0135_2122-Q1;MOJ_0050_2021-Q1;MOJ_0049_2021-Q1;DCMS_0013_1819-Q3;DFT_0048_2021-Q3;DCMS_0011_1718-Q3;DFT_0034_1920-Q2;DFT_0024_1516-Q4;MOD_0001_1112-Q1;DFT_0044_2021-Q2;DFT_0031_1819-Q1;DFT_0047_2021-Q3;MOJ_0053_2021-Q4;DHSC_0068_2021-Q4;MOJ_0052_2021-Q3;MOD_0119_1920-Q2;DEFRA_0009_2021-Q3;MOD_0104_1617-Q1;MOD_0091_1415-Q3;MOD_0076_1213-Q1;MOD_0131_2122-Q1;DCMS_0012_1819-Q2;DCMS_0008_1516-Q4;HMRC_0030_2122-Q1;MOD_0141_2122-Q1;HMRC_0015_1617-Q1;MHCLG_0003_2021-Q2;MHCLG_0002_1920-Q4;DWP_0008_2122-Q2;BEIS_0018_2122-Q1;ONS_0002_1112-Q1;HO_0042_2021-Q3;MOD_0009_2122-Q2;CO_0024_2021-Q2;MOD_0118_1718-Q3;MOD_0121_2021-Q4;HMRC_0029_2122-Q3;DEFRA_0040_2122-Q3;CO_0020_1718-Q4;MOJ_0059_2122-Q1;HMRC_0026_2021-Q1;MOD_0078_1213-Q1;HMRC_0032_2122-Q1;DFT_0001_1112-Q1;MOD_0017_1112-Q1;HMRC_0031_2122-Q1;HMRC_0028_2122-Q3;MOD_0114_1718-Q1;DEFRA_0016_2122-Q1;CO_0033_2122-Q1;HO_0031_1415-Q1;MOD_0080_1213-Q1;MOD_0120_2021-Q2;DFT_0038_1920-Q4;DFT_0033_1819-Q1;DFT_0046_2021-Q2;DFT_0052_2122-Q1;FCO_0010_1617-Q3;CO_0025_2021-Q3;MOJ_0003_1112-Q1;MOJ_0058_2122-Q1;HO_0016_1213-Q1;HMRC_0033_2122-Q1;DHSC_0041_2122-Q3;MOD_0137_2122-Q1;DFE_0013_1920-Q3;MOJ_0050_2122-Q3;MOJ_0049_2122-Q3;FCO_0014_2122-Q1;DFE_0015_2021-Q3;MOD_0116_1718-Q2;HO_0045_2122-Q1;MHCLG_0008_2122-Q1;DHSC_0071_2122-Q1;DFT_0039_2122-Q3;MOD_0100_1516-Q1;HO_0039_1920-Q4;MOD_0122_2021-Q4;MOD_0139_2122-Q1;MOD_0129_2122-Q1;DEFRA_0008_2021-Q1;MOD_0117_1718-Q2;MOJ_0043_1920-Q2;CO_0027_2021-Q4;HO_0043_2021-Q4;DECC_0005_1112-Q1;CO_0015_1516-Q2;CO_0014_1516-Q2;DOH_0063_1819-Q3;BEIS_0011_2021-Q4;BEIS_0006_2021-Q3;MHCLG_0001_1920-Q3;MOD_0144_2122-Q1;HMRC_0031_2122-Q3;DWP_0028_1819-Q3;BEIS_0001_1617-Q2;BEIS_0016_2122-Q1;BEIS_0017_2122-Q1;FCO_0012_1718-Q4;MOJ_0061_2122-Q3;MOJ_0028_1314-Q2;MOJ_0045_1920-Q2;HO_0044_2021-Q4;HO_0033_1415-Q3;BEIS_0012_2021-Q4;MHCLG_0004_2021-Q4;DFT_0040_2021-Q1;DFT_0041_2021-Q1;DFT_0042_2021-Q1;HO_0048_2122-Q1;HO_0029_1314-Q4;BEIS_0004_2122-Q2;HMRC_0027_2021-Q2;DFE_0051_2122-Q3;DFE_0016_2021-Q3;ONS_0003_2021-Q4;DHSC_0067_2021-Q3;DCMS_0010_1718-Q3;MOD_0111_1718-Q1;MOD_0105_1617-Q1;MOD_0056_2122-Q3;DEFRA_0010_2021-Q3;MHCLG_0017_2122-Q2;MOD_0079_1213-Q1;BEIS_0068_2122-Q3;BIS_0015_1516-Q1;BEIS_0001_2122-Q2;HMRC_0017_1617-Q2;DFT_0022_1415-Q4;MOD_0123_2021-Q4;MOD_0106_1617-Q1;MOD_0033_1112-Q1;MOD_0142_2122-Q1;MOD_0115_1718-Q2;MOD_0132_2122-Q1;BEIS_0005_1920-Q4;MOD_0143_2122-Q1;DFT_0027_1617-Q1;DFT_0043_2021-Q2;MOD_0124_2021-Q4;MOD_0110_1718-Q1;MOJ_0073_2122-Q4;HO_0036_1617-Q2;DFE_0020_2021-Q4;DCMS_0018_2021-Q3;MOD_0136_2122-Q1;CO_0014_2122-Q2;DEFRA_0013_2021-Q4;FCO_0013_1920-Q3;DHSC_0066_2021-Q2;NCA_0001_1415-Q2;BIS_0014_1415-Q3;MOD_0125_2021-Q4;MOD_0101_1516-Q1;MOD_0109_1617-Q2;MOD_0126_2021-Q4;DEFRA_0014_2021-Q4;DEFRA_0015_2122-Q1;HMT_0004_2021-Q2;HO_0047_2122-Q1;BEIS_0002_2122-Q2;CO_0026_2021-Q3;HO_0046_2122-Q1;DEFRA_0011_2021-Q3;HMRC_0027_2122-Q2;MOD_0133_2122-Q1;DWP_0029_2021-Q4;MOJ_0051_2021-Q2;DOH_0017_1112-Q1;MHCLG_0006_2122-Q1;HO_0041_2021-Q3;MOJ_0054_2021-Q4;DFE_0006_1415-Q3;MOJ_0055_2021-Q4;MOJ_0044_1920-Q2;MOJ_0042_1819-Q2;MOJ_0060_2122-Q1;MOD_0128_2021-Q4;DCMS_0019_2021-Q4;HMRC_0028_2021-Q3;MOD_0107_1617-Q1;BEIS_0013_2021-Q4;DFT_0050_2021-Q4;DFT_0054_2122-Q1;DFT_0020_2122-Q2;MOJ_0057_2122-Q1;DWP_0001_2021-Q3;DEFRA_0012_2021-Q3;BEIS_0007_2021-Q3;DFE_0018_2021-Q3;DFE_0019_2021-Q3;DEFRA_0007_2021-Q1;MOD_0138_2122-Q1;MOD_0047_1112-Q1;HMRC_0020_1819-Q3;MOJ_0048_2021-Q1;BEIS_0008_2021-Q3;DHSC_0069_2122-Q1;DCMS_0020_2122-Q1;HMRC_0032_2122-Q3;CO_0035_2122-Q1;BEIS_0009_2021-Q3;BEIS_0019_2122-Q1;DFE_0017_2021-Q3;DECC_0010_1112-Q1;BEIS_0014_2021-Q4;HO_0034_2122-Q3;MOD_0140_2122-Q1;MOD_0011_2122-Q2;DHSC_0070_2122-Q1;HO_0040_1920-Q4;DFE_0010_1819-Q1;DFE_0014_2021-Q2;HMRC_0025_2021-Q1;MOD_0134_2122-Q1;MHCLG_0007_2122-Q1;HMRC_0029_2021-Q3;CO_0023_1920-Q1;DFT_0037_1920-Q3;MOD_0055_1112-Q1;MOD_0112_1718-Q1;MHCLG_0005_2021-Q4;DEFRA_0017_2122-Q1;DCMS_0017_2021-Q2;FCO_0011_1718-Q3;CO_0029_2021-Q4;HMRC_0033_2122-Q3;DWP_0009_1112-Q1;BEIS_0015_2021-Q4;CO_0028_2021-Q4;CO_0032_2122-Q1;DEFRA_0012_2122-Q2;DWP_0013_2122-Q2;MOJ_0056_2021-Q4;MOJ_0040_1718-Q3
Project Name;Submarine Dismantling Project;10,000 Additional Prison Places;10,000 Additional Prison Places Programme - Estate Expansions;4th National Lottery Licence Competition;2nd Generation UK Search and Rescue Aviation;5G Testbeds & Trials;A12 Chelmsford to A120 Widening;A303 Amesbury to Berwick Down;A400M;A417 Air Balloon;A428 Black Cat to Caxton Gibbet;A66 Northern Trans-Pennine;Accelerated Houseblocks;AI Labs;Approved Premises;Armed Forces Recruiting Programme;Bridgwater Barrier;Armour MBT 2025;Armoured Cavalry 2025;Astute Boats 1-7;AURORA;Birmingham 2022 Commonwealth Games;Blythe House Programme;Borders & Trade Programme;Brimstone 3;Building Our Future Locations Programme;Building Safety Programme -  Non ACM Remediation;Building Safety Programme ACM Remediation;Building Safety Regulator;CCUS;Census & Data Collection Transformation Programme;Cerberus;CHINOOK CAPABILITY SUSTAINMENT PROGRAMME (CSP);Civil Service Pensions 2015 Remedy;Clyde Infrastructure;Collective Training Transformation Programme;Data Protection Remediation Programme;Collection and Packaging Reforms;Commercial Capability Expansion Programme;Community Accommodation Service Tier 2;Contact Engagement Programme;Core Production Capability;Critical Platform Transformation CPT;Crossrail Programme;Crowsnest Programme;Debt Respite Programme;Debt Transformation;Defence Estate Optimisation;Defra Biosecurity, Borders and Trade Programme (BBTP);Digital Identity;Digital Services at the Border (DSAB);DREADNOUGHT;E7 Wedgetail;East Coast Digital Programme;East Coast Mainline Programme;East West Rail Configuration State 1;East West Rail Connection Stage 2 & 3;Echo 2 Programme;Electoral Integrity;Electronic Monitoring;Electronic Monitoring Expansion;Emergency Services Mobile Communications Programme (ESMCP);Enterprise Security Programme ESP;ESR Transformation Programme;European Common Radar System Mk 2;Evolve;Evolve Network Services;Evolve Voice & Video Services;FCDO Transformation;FE Capital Transformation;Fleet Solid Support;Fraud And Cyber Crime Reporting and Analysis Service;Freeports;Frontline Digitisation;Further Electrification of Midland Main Line (MML3);Future Beyond Line Of Sight;Future Border and Immigration System Programme;Future Combat Air System;Future Cruise Anti Ship Weapon (FCASW);Future Defence Infrastucture Services (FDIS);Future Farming and Countryside Programme;Future Maritime Support Programme;Glen Parva New Build Prison;Future Service Programme;Future Suppliers Services;Geological Disposal Facility Programme (GDF);GOV UK Verify;Government Hubs Programme;GP IT Futures Programme;Green Homes Grant: Local Authority Delivery (LAD);Green Homes Vouchers Programme;Grenfell Site and Programme;Ground Based Air Defence (GBAD);GSS HMRC Led Cluster Programme;Health Transformation Programme;Heat Networks Investment Project;Help to Grow - Digital;Help to Grow - Management;Hera Programme;HMCTS Decommission and Legacy Risk Mitigation (DLRM) Programme;HMCTS Reform;HMP Five Wells New Prison;HMPO Transformation;Home Office Biometrics (HOB) Programme;Home Upgrade Grant (HUG) Phase 1;Housing Infrastructure Fund;HS2 Phase 1;HS2 Phase 2a;HS2 Phase 2b Western Leg;I-LEAP;Immigration Platform Technologies (IPT);Industrial Decarbonisation & Hydrogen Revenue Support;Infrastructure Programme;Initial Teacher Training Market Review (ITT);Institutes of Technology (IoT) 2;Integrated Data Programme;Integrated Single Financial Environment;Local Full Fibre Networks;Joint Crypt Key Programme;Land Environment Tactical Communication  and  Information Systems;Land Intelligence, Surveillance, Target Acquisition and Reconnaissance (ISTAR);Leeds Phase 2 Flood Scheme;Levelling Up Fund;Lightning Programme;Local Authority Delivery (LAD) Phase 3;Local Land Charges (LLC) Programme;Low Cost Nuclear Programme (Rolls Royce SMRs Challenge);Making Tax Digital;Lower Thames Crossing;Maritime Electronic Warfare System Integrated Capability;Maritime Patrol Aircraft;MARSHALL;Martlett;Mechanised Infantry Programme;MENSA;Met Office Supercomputing 2020+ Programme;Meteor;Midland Main Line Programme;Midlands Rail Hub;Mine Hunting Capability;MODnet Evolve;MOJ_0073_2122-Q4;National Law Enforcement Data Programme (NLEDP);National Tutoring programme;Natural History Museum at Harwell;Naval Support Integrated Global Network (NSIGN);National Underground Asset Register;Nature for Climate Fund;New Beijing Embassy and Residence;New Hospital Programme;NCA Transformation Portfolio;New Polar Research Vessel;New Medium Helicopter;New Style of Information Technology (Base);New Style of Information Technology Deployed;Next Generation (fixed) Communication Network;NO2 Programme;Northern Ireland Programme;NS&I Rainbow;Nuclear Security Portfolio;NZHF;One Public Estate;OPTIMUS;Oxford Flood Alleviation Scheme;Payments;PEGASUS;Pensions Dashboard Programme;PFI Prisons Expiry & Transfer Project;PHE Science Hub;Planning  Reform;Police Uplift Programme;Print Reprocurement;Priority School Building Programme 2;Prison Retail;Prison Technology Transformation Programme (PTTP);Probation Programme;Probation Workforce Reform;Project Bramley;Project Gigabit;Protect Connect;PROTECTOR;Public Sector Decarbonisation Scheme (PSDS);Rail Passenger Services;Rapid Charging Fund;Rail Transformation Programme;Rapid Deployment Cells Project;Restart Programme;River Thames Scheme;Replacement Analytical Project;School Rebuilding Programme;Schools Commercial;Science Capability in Animal Health Programme;Sea Venom;Spearfish Upgrade Programme;Securing our Technical Future;Security Investment Programme;Sellafield Product and Residue Store Retreatment Plant;Shared Care Records;Shared Rural Network;Single Customer Account;Single Trade Window Programme;SIXEP Continuity Plant;Sizewell C;Skills Bootcamps and Free Courses for Jobs;Smart Metering Implementation Programme;Social Housing Decarbonisation Fund;Sovereign Borders;Spearcap 3;Submarine Waterfront Infrastructure Future;Supporting People at Home;Suspicious Activity Reports (SARS) Reform;T Level Programme;Teacher Development Reform Programme;Technology Sourcing Programme;TEUTATES;Towns Fund;Trader Support Service;Transforming CCS;Transpennine Route Upgrade;Type 26 Global Combat Ship Programme;Type 31e;UK Holocaust Memorial and Learning Centre;UK Seafood Fund;UNBOXED: Creativity in the UK;Washington Embassy Refurbishment;Workplace Services Transformation Programme;Unique Customer Record;Universal Credit Programme;Vaccines Task Force;Vetting Transformation Programme;Whitehall Campus;Workplace and Facilities Management;Workplace Transformation;YOI Education Services Retender;YOUTH JUSTICE REFORM PROGRAMME
Department;MOD;MOJ;MOJ;DCMS;DFT;DCMS;DFT;DFT;MOD;DFT;DFT;DFT;MOJ;DHSC;MOJ;MOD;DEFRA;MOD;MOD;MOD;MOD;DCMS;DCMS;HMRC;MOD;HMRC;DLUHC;DLUHC;DWP;BEIS;ONS;HO;MOD;CO;MOD;MOD;HMRC;DEFRA;CO;MOJ;HMRC;MOD;HMRC;DFT;MOD;HMRC;HMRC;MOD;DEFRA;CO;HO;MOD;MOD;DFT;DFT;DFT;DFT;FCDO;DLUHC;MOJ;MOJ;HO;HMRC;DHSC;MOD;DFE;MOJ;MOJ;FCDO;DFE;MOD;HO;DLUHC;DHSC;DFT;MOD;HO;MOD;MOD;MOD;DEFRA;MOD;MOJ;CO;HO;BEIS;CO;CO;DHSC;BEIS;BEIS;DLUHC;MOD;HMRC;DWP;BEIS;BEIS;BEIS;FCDO;MOJ;MOJ;MOJ;HO;HO;BEIS;DLUHC;DFT;DFT;DFT;HO;HO;BEIS;HMRC;DFE;DFE;ONS;DHSC;DCMS;MOD;MOD;MOD;DEFRA;DLUHC;MOD;BEIS;HMLR;BEIS;HMRC;DFT;MOD;MOD;MOD;MOD;MOD;MOD;BEIS;MOD;DFT;DFT;MOD;MOD;MOJ;HO;DFE;DCMS;MOD;CO;DEFRA;FCDO;DHSC;NCA;BEIS;MOD;MOD;MOD;MOD;DEFRA;DEFRA;HMT;HO;BEIS;CO;HO;DEFRA;HMRC;MOD;DWP;MOJ;DHSC;DLUHC;HO;MOJ;DFE;MOJ;MOJ;MOJ;MOJ;MOD;DCMS;HMRC;MOD;BEIS;DFT;DFT;DFT;MOJ;DWP;DEFRA;BEIS;DFE;DFE;DEFRA;MOD;MOD;HMRC;MOJ;BEIS;DHSC;DCMS;HMRC;HMRC;BEIS;BEIS;DFE;BEIS;BEIS;HO;MOD;MOD;DHSC;HO;DFE;DFE;HMRC;MOD;DLUHC;HMRC;CO;DFT;MOD;MOD;DLUHC;DEFRA;DCMS;FCDO;CO;HMRC;DWP;BEIS;CO;CO;DEFRA;DWP;MOJ;MOJ
Annual Report Category;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Military Capability;Infrastructure and Construction;Military Capability;Military Capability;Military Capability;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Military Capability;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Military Capability;Government Transformation and Service Delivery;Military Capability;Military Capability;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Military Capability;ICT;Infrastructure and Construction;Military Capability;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Military Capability;Government Transformation and Service Delivery;ICT;ICT;Military Capability;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;ICT;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;ICT;ICT;Military Capability;Government Transformation and Service Delivery;ICT;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;Government Transformation and Service Delivery;Infrastructure and Construction;ICT;Infrastructure and Construction;ICT;Government Transformation and Service Delivery;Military Capability;Military Capability;Infrastructure and Construction;Government Transformation and Service Delivery;Military Capability;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;ICT;Government Transformation and Service Delivery;ICT;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;ICT;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;ICT;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;ICT;Infrastructure and Construction;Military Capability;Military Capability;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Military Capability;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;ICT;Infrastructure and Construction;Military Capability;Military Capability;Military Capability;Military Capability;Military Capability;Military Capability;ICT;Military Capability;Infrastructure and Construction;Infrastructure and Construction;Military Capability;ICT;Government Transformation and Service Delivery;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;ICT;Military Capability;ICT;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Military Capability;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;ICT;Infrastructure and Construction;Government Transformation and Service Delivery;ICT;Government Transformation and Service Delivery;Government Transformation and Service Delivery;ICT;Infrastructure and Construction;Government Transformation and Service Delivery;Military Capability;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;Military Capability;ICT;Government Transformation and Service Delivery;Infrastructure and Construction;ICT;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Infrastructure and Construction;Infrastructure and Construction;Government Transformation and Service Delivery;Military Capability;Infrastructure and Construction;ICT;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;ICT;Military Capability;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Military Capability;Military Capability;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Infrastructure and Construction;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery;Government Transformation and Service Delivery
