,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
1,The Francis Crick Institute (formerly UKCMRI),BIS,Amber/Green,"The Francis Crick Institute  is a joint venture between the UK's largest biomedical research and academic institutions: The Medical Research Council (MRC), Cancer Research UK (CRUK), the Wellcome Trust, University College London,  Kings College, London and Imperial College, London.  A new research Institution will be established involving the construction of a new facility located close to St Pancras station, London.  This facility will accommodate 1,268 scientists when fully operational.  The National Institute for Medical Research (NIMR) will be closed.  The funds from the sale of the former NIMR site at Mill Hill and the former National Temperance Hospital site will be used as part of this project.","On 1st April 2015 the NIMR  transferred to the Francis Crick Institute.  This highly complex transfer included the transfer of 611 former NIMR  staff by TUPE, all NIMR assets and the leasing of the NIMR site.  Construction of the new Francis Crick Institute near  St. Pancras is scheduled to be complete as planned in November 2015.  However, Practical Completion of the building is delayed due to difficulties in completing the extensive commissioning activities.  This delay will not impact on the planned overall end date of the project as staff and equipment occupation plans will be accelerated.  The project remains within the budget set in 2010. On 30th June 2015 contracts were exchanged with a Developer to sell the NIMR site at Mill Hill.  The funds from the sale of this site will be sufficient to complete MRC's funding obligations to the Francis Crick Institute.  The sale will be completed  when MRC is in a position to fully vacate the site.",01/10/2006,31/12/2016,Data not provided,Ł6.20,Ł6.20,Ł752.70,Budget variance less than 5%.,The Whole Life Costs represent the total construction costs including contributions from all the participants.,2016
2,Project Eagle (formerly Urenco Future Options),BIS,Amber/Red," The Shareholder Executive is taking forward preparations for a sale of HMGs one-third shareholding in Urenco, a uranium enrichment company.","No final decision has been made by the British government on the sale of its shares in Urenco. We continue to move forward with preparations for the sale of our shareholding. Any sale of our shareholding will be contingent on safeguarding our security and non-proliferation interests, and delivering value for money for the UK taxpayer",01/02/2010,15/06/2017,Data not provided,Ł1.30,Ł1.30,Ł12.90,Budget variance less than 5%.,Data not provided,2016
3,New Polar Research Vessel,BIS,Amber/Green,"NERC/British Antarctic Survey has a business need to replace its two aging science/logistics support vessels with a new dual role purpose vessel.   The FBC calculated that the NPV of the option selected as best overall Value For Money, (design, build operate a new dual role science/logistics support vessel)  resulting in a  saving of Ł102m over a period of 25 years representing the anticipated lifetime of the new asset. The reduction in vessel capacity  and attendant running costs is predicted to deliver significant savings with only a minor impact of delivery of science days at sea. The Specification/Statement Of Requirements for the new vessel was developed in consultation with the key stakeholders including, but not limited to, the scientific user community; logistics support staff within the British Antarctic Survey and the Supply Side. Working with the selected shipyard, Cammell Laird  we are oprimising the design and on track to deliver the vessel in Autumn 2018.   Following intensive commissioning and sea trials, the vessel will enter into service in Autumn 2019.","A preferred bidder for the Ship Design and build element of the programme will be selected and a signed contract in place by November 2015. Detailed work will be undertaken to consider resource requirements which will then be followed by a recruitment process to fill key posts, for example, an Antarctic Logistics technical advisor and a Business Change Manager within BAS. Further work to resolve uncertainties around costs will be done with to put a detailed programme budget in place early in 2016. ",01/05/2014,05/08/2019,Data not provided,Ł41.00,Ł39.70,"Ł1,186.00",Budget variance less than 5%.,Data not provided,2016
4,Local Land Charges (LLC) Programme,BIS,Amber/Red,"Land Registry will create a single, digital LLC service that will improve access, standardise fees and improve turnaround times for property professionals and citizens.",The Outline Business Case was approved by HM Treasury in September 2015 enabling the project to move forward after a period of uncertainty and a re-planning exercise will now be done. Work to secure approval to recruit suitably experienced staff for key posts including a Programme Director is underway with a view to having them in place by the end of 2015. This will include developing improving the organisational capability and capacity within Land Registry. Work on improving stakeholder engagement with both other government departments and external stakeholders is planned. ,01/03/2014,28/06/2018,Data not provided,Ł5.50,Ł5.50,Ł193.30,Budget variance less than 5%.,Data not provided,2016
5,ICR Monetisation,BIS,Amber/Red,"HM Government is  carrying out a programme of asset sales with the purpose of reducing public sector net debt (PSND). The Government has announced its intention to sell the pre-Browne Income Contingent Repayment (ICR) student loan book to contribute to this objective and to realise value to the taxpayer.  This loan book will be sold in a series of tranches over a number of years.  The first tranche of loans is expected to be sold by 2015-16.  As is normal with transactions of this type, there will be a value for money assessment made before each sale. Each sale is required to represent value for money and meet other key project objectives to be considered a success.  Failure to meet objectives will result in a decision not to sell.",The first tranche sale has now been moved from a 15/16 timetable to 16/17.  ,01/03/2010,31/12/2018,HMG has enhanced its intention to carry out a programme of sales over 5 years with a first sale expected to occur in 2016/17.,Ł5.80,Ł5.80,Ł15.29,Budget variance less than 5%.,Data not provided,2016
6,Commercial Capability Programme,CO,Amber/Red,"The Commercial Capability Programme will deliver a step change in commercial capability by putting in place the key enablers that will lead to a function which is smaller, aligned with the new functional model for Government, and staffed with professionals who are more capable and confident. To do this we will recruit, retain, develop and grow our own best commercial talent, helping to drive commercial common sense.",Professional Standards (a major dependency across the programme) for those in the Commercial Profession have been developed and published. A number of projects have moved from the strategy and design phase to implementation - most notably the drive to recruit experience and new talent. A Development Centre to assess commercial professionals has been designed and tested.,01/01/2015,31/03/2017,On track to deliver programme enablers by 31/03/2017,Ł5.20,Ł5.20,Ł10.40,Budget variance less than 5%.,We are on track to deliver the programme enablers within the forecast whole life cost,2016
7,GOV.UK Verify,CO,Amber/Green,"GOV.UK Verify is the new way to prove who you are online and for public service providers to be assured you are who you say you are. Currently publicly accessible with 9 services, GOV.UK Verify will move from beta to live in April 2016, and will be rolled out across an increasing range of central government services from April 2016.","We are on track to go live in April 2016, meeting our 6 key objectives listed on our blog.",01/04/2012,01/04/2020,"We are on track to go from a beta to a live service in April 2016, meeting our objectives for live (see objectives and progress reporting on our blog).",Ł30.00,Ł30.00,Exempt under Section 43(2) of the Freedom of Information Act (2000),"We pay our suppliers on results - the number of people they successfully verify online. The number of people who successfully verify online is dependent on: supplier performance, service adoption of verify, citizen adoption, online channel volumes and the other channels available. This uncertainty on volumes is the driver of variance on in-year budget forecasts.","Fixed costs for this programme (staff and infrastructure) are relatively stable whilst variable costs are dependent on the volume of users. The whole life costs are based on our estimate of the number of people who will use online central government services over 5 years - the profile over the 5 years is dependent on supplier performance, service adoption of verify, citizen adoption, online channel volumes and the other channels available. Therefore, in-year forecasts are difficult to predict as we only pay our suppliers on results, where the cost is driven by volumes. ",2016
8,FOXHOUND Programme,CO,Amber,"Design, development, build and deployment of an IT Shared Service across Government that enables them to work effectively and securely. ","The Foxhound Programme was faced with a number of challenges to meet in during 15/16, which have been addressed. In addition to delivery of the solution proof of concept and initial rollout (Wave 0), the programme was committed to:
- Planning the solution's technology releases out to 2018;
 - Consult partner organisations to identify user needs;
 - Develop a workable deployment schedule; and,
 - Establish a programme team with the capability and capacity to deliver the programme. 

The last of these challenges, programme resourcing, has seen a significant increase in the programme's headcount. This has been a key factor in progressing the other major deliverables of technology and deployment roadmap, which are now complete and ratified by the Programme Steering Group. The programme has continued to mature the funding position and has submitted the OBC for Treasury review as planned. ",01/09/2013,01/07/2018,"The programme is on track to delivery within the stated dates. Elements of the detailed technology delivery plan are still being developed in conjunction with delivery partners, a full programme delivery plan will be presented to stakeholders in Q4 15/16. ",Ł18.80,Ł18.80,Ł187.80,Budget variance less than 5%.,"The whole life costs figures are those documented in the OBC;  FBC development, due for completion during Q1 16/17, will provide further granularity to these figures. ",2016
9,ISSC2,CO,Amber/Red,"ISSC2 will transform back office operations by consolidating transactional services and by sharing HR, procurement, finance and payroll functions and processes, it will deliver more efficient and cost-effective services. The ethos behind this shared services model is to leverage skills and drive economic efficiency. The strategy is driven by the potential for financial savings in high volume, low risk and low complexity, less regulated work and streamlined systems and processes. The procurement phase of the ISSC2 project was completed on 31 October 2013, with 14 individual clients signing contracts with Shared Services Connected Limited (SSCL). As well as delivering Business Process Services (BPS) to its clients, SSCL is also designing, building and implementing a Single Operating Platform (SOP) to further enable the drive towards standardising services offered.","SSCL continue to deliver a satisfactory BAU service. Across all customers, 95% of Key Performance Indicators and 99% of Service Level Agreements were passed. HO / MOJ as new customers has put additional demand for resources on SSCL. Metropolitan Police also joined the ISSC2 Framework in August 2015. The original contracted dates for these new customers have proven challenging for both contractor and customers.  Target dates are being revised, and the impacts and interdependencies on any already agreed dates reviewed. 
The Programme's DCA reflects the offshoring and the Single Operating Platform (SOP) workstreams being behind schedule. The impact is that SSCL is not able to fully move to its target operating model and customers are not receiving the full benefits expected from an upgraded IT platform. Customers are also requesting that COF consider enhancing SOP services to take account of the changing digital environment.  COF has increased focus and resources to deal with the delayed programme and is considering strategic options to enhance SOP and other associated future services.",28/12/2012,30/04/2015,"The delivery schedule is currently being assessed on to accommodate the new customers joining the ISSC2 Framework and the potential options for enhancing the Single Operating Platform to benefit from the changing environment in digital technology services. Therefore, project end date is currently being revised.",Ł5.70,Ł4.70,Ł32.80,NGSS is forecast to spend lower than budgeted partly due to the requirement to make in-year savings and staff vacancies ,"WLC figures have changed to reflect a more accurate analysis of costs.  The gross NGSS spend from 2012/13 to 2019/2020 is forecast to be Ł41m and is split between ISSC1 and ISSC2.  However, ISSC2 contract also receives a management fee from SSCL amounting to Ł20m over the life of the contract. This reduces the net spend for ISSC2 to Ł12.80m.",2016
10,ISSC1,CO,Red,"ISSC1 is based on the DfT SSC in Swansea which was divested to an independent shared service provider arvato, in March 2013. The framework contract was novated to the Cabinet Office in September 2013 and would include a low-cost ERP platform provision to enable an affordable service for the smaller department and its agencies which they can sign up to via a call off agreement. As the Framework Authority, Crown Oversights role is to assure this activity whilst at the same time monitoring the service customers receive to ensure that agreed standards and service levels continue to be met. ","As a result of further delay to the initial DfT migrations, a joint supplier/customer phase of re-evaluation and re-planning has begun. Cabinet Office and DfT have agreed that DfT will lead this activity on behalf of the Framework Authority. This activity will focus on sole delivery of DfT migrations and how soon these might be achieved.  Standstill agreements have been agreed with OGDs in respect of their migration plans.  ",28/12/2012,01/06/2016,"The DfT Programme remains classified as Red due to the continued delays of UAT and resolution of some defects raised during testing. arvato and DfT are considering issues around go-live dates of DfTc and DVLA.  As a result, the lead time for DfT to fully effect the migrations of its business units is currently under revision.  



",Ł1.40,Ł1.20,Ł8.20,NGSS is forecast to spend lower than budgeted partly due to the requirement to make in-year savings and staff vacancies ,"Figures have changed to to more accurate analysis of costs.  The gross NGSS spend form 2012/13 to 2019/2020 is Ł41m and is split 80/20 between ISSC2 / 1.  However, ISSC2 contract also receives a management fee from SSCL amounting to Ł20m over the life of the contract. This reduces the net spend for ISSC2 to Ł12.80m.",2016
