,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the IPA Annual Report on Major Projects)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest Approved Start Date)","Project - End Date
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2018/19 TOTAL Baseline Łm
(including Non-Government costs)","2018/19 TOTAL Forecast Łm
(including Non-Government costs)",2018/2019 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2018/19
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs,Annual Report Category
1,Geological Disposal Facility Programme (GDF),BEIS,Amber,"The primary objective of the programme is to site and construct a permanent geological disposal facility (GDF) as the safe, secure and environmentally responsible solution to the long-term management of higher-activity radioactive waste in the UK, excluding Scotland.  The programme also supports the delivery of the UK's nuclear new build programme because before development consents for new nuclear power stations are granted, the Government needs to be satisfied that effective arrangements exist or will exist to manage and dispose of the wastes they will produce. The programme complies with all public procurement policy obligations including the guidance in Procurement Policy Note 16/15. The developer will be able to provide data once we are in the implementation phase of the programme ie we have a designated site and a site specific rather than a generic design. ","The Programme has improved its Amber-Red rating in 2017/18 to Amber in 2018/19 reflecting the good progress made over the past year. The launch of the siting process on 19 December 2018 was an important milestone but this is a long term programme and significant risks still remain, not least the securing of a willing local community to host the GDF.",30/06/2008,31/12/2040,"Planning schedules are in line with the ambition to identify a site and construct a GDF by the 2040s and are kept under review by the developer, Radioactive Waste Management Ltd.",Ł40.27,Ł37.40,-7%,"Ł12,343.96",The small in-year forecast underspend reflects a short delay to the timing of the launch of the siting process which took place in December 2018. ,"The Whole Life Cost figure represents the estimated cost of designing, constructing and operating the GDF out to the 2130s.  Note that the figure reported here only relates to a GDF for legacy waste and waste arising from the existing fleet of nuclear reactors. It does not include any provision for waste disposal from a new nuclear build programme, as this will be funded by new nuclear operators. In line with other Government programmes at an early stage of development, the estimate does not include any allowance for risk, uncertainty or optimism bias.  The increase in costs since last year is primarily down to inflation and revised assumptions during the siting and construction phases.  All figures are provided in real rather than nominal values due to the long timescales associated with this programme.",Infrastructure and Construction
2,Heat Networks Investment Project,BEIS,Amber,The Heat Networks Investment Project (HNIP) is helping create a self-sustaining heat network market through Ł320 million capital investment and short term actions to address market barriers.   ,The status of the project remains at Amber. Pre-application deadline for round 1 passed with 37 pre-applications received demonstrating a good pipeline of projects for rounds1 and 2. Pre-applications being assessed for eligibility and'readiness'. Applications for first funding round open until 5th of April 2019. Improvement in application support services are being made. Assessment work and decision making processes for the applications is being finalised. Assessments of the full applications will commence in April 2019 with Investment Committee expected to sit in June 2019. Progressing recent Gateway 4 recommendations.,25/11/2015,31/03/2021,Round One Assessment and Funding Decisions have been delayed by 2 months to the end of June to provide sufficient time to ensure adequate assessment processes and systems will be in place.,Ł10.40,Ł7.89,-24%,Ł371.80,-24% in the Q2 GMPP represented RDEL forecasted underspend. This is now -5% representing payments to our delivery partner of 9.9m. CDEL has changed to accurately reflect funding actuals that were repoted in 2017/18 that actually paid out 2018/19',Whole life baselined RDEL  costs have increased slightly to include 2021 - 2023 Delivery Partner Costs . ,Infrastructure and Construction
3,Local Land Charges (LLC) Programme,BEIS,Amber,"A Local Land Charge (LLC) is a restriction or prohibition on land which binds successive owners and occupiers. The LLC Programme will deliver a single LLC Register Service for England (the inclusion of the LLC Registers in Wales will be subject to a further business case), implementing the powers granted to HM Land Registry under the Infrastructure Act 2015. The scope of the Programme is to take the 326 English Local Authorities registers and replace them with a single digital register, resulting in Land Registry becoming the sole registering authority and official search provider for LLC.","The service is now live and HMLR is working with a range of local authorities to migrate thier data. This has been slower than planned due to a number of factors: readiness and resource availability within local authorities, the complexity of creating consistent geospatial data from the current data sets and the time taken to procure and on-board the digitisation and transformation supplier. The key aim for Phase 1 is to inform our learning about the new service, its impact on customers and market - and the costs and time taken to migrate the service to the national digital Register.  This learning is being applied in real time to the inflight migrations, including investing in AI to inform understanding of the data issues and speed up the transformation process. ",01/03/2014,17/11/2023,"During  2018, the secondary legislation to enable the service to go live was passed through Parliament and the digital Register was completed, allowing the service to go live on 11 July 2018.  Since then, the service has migrated from 5 local authorities, against the planned up to 26.  Approval has been received from Ministers in BEIS and HMT to extend Phase 1 until March 2020, in order to allow for additional local authorities to be migrated to the new national digitial Register - and increase our learning about the product, costs and timelines for migrating the service. ",Ł31.20,Ł9.18,-71%,Ł193.30,"Baselines are based on the approved OBC and forecasts for Phase 1 only.  Ministers have approved the extension of Phase delivery, including transfer of Ł4.5m of funds into FY 19/20. ",Whole life budgeted cost is unchanged by the extension of Phase 1 to March 2020.  ,ICT
4,Magnox & RSRL PBO Competition,BEIS,Amber,"The objective of the procurement (the Magnox Competition) is the delivery of a series of outputs largely based on the extant baselines of Magnox and RSRL, defined as outcomes of the Magnox Optimised Decommissioning Plan (MODP) and Optimised RSRL Baseline (HOP and WOP) at 10% lower cost. The performance obligations associated with delivery of this objective are embodied within a Client Specification which forms the basis of the Site Licence Company Agreement (SLCA) and Parent Body Agreement (PBA). This project is likely to have a steel component in excess of Ł10M.  
",Critical actions addressed. Commercial and Assurance resources strengthened. Work to understand gaps in Lifetime Plan in progress. Transition and Termination teams co-located.,03/04/2012,31/08/2019,"The contract will terminate on the 31st August 2019 in line with the project plan. At the time of this report, 44 of the 49 milestones are forecast to be delivered by the end of the contract with the other 5 partially delivered.",Ł490.00,Ł532.00,9%,"Ł2,782.00","The forecast cost for 18/19 is Ł553M, an increase of Ł63M to baseline, including Ł21M on the contract scope, reflecting a scope increase for managing asbestos and additional waste.  ","Whole life cost is forecast to increase. Beyond this project the LTP costs to Care and Maintenance are forecasted to increase, driven by translation of risks and P80 estimating, highlighted to the NDA Board.",Infrastructure and Construction
5,New Polar Research Vessel,BEIS,Amber,"NERC/British Antarctic Survey has a business need to replace its two aging science/logistics support vessels with a new dual role purpose vessel.   The FBC calculated that the NPV of the option selected as best overall Value For Money, (design, build operate a new dual role science/logistics support vessel)  resulting in a  saving of Ł102m over a period of 25 years representing the anticipated lifetime of the new asset. The reduction in vessel capacity  and attendant running costs is predicted to deliver significant savings with only a minor impact of delivery of science days at sea. The Specification/Statement Of Requirements for the new vessel was developed in consultation with the key stakeholders including, but not limited to, the scientific user community; logistics support staff within the British Antarctic Survey and the Supply Side. Working with the selected shipyard, Cammell Laird  we are optimising the design and on track to deliver the vessel in Q4 2017/18. 

NERC is not purchasing any steel. Steel purchased by the main contractor has due regard for the guidance and commercial best practice.",The IPA project rating is Amber and action is underway against all recommendations identified and progressing well. There is a monthly call between the Programme Team and IPA to discuss the supporting action plan to complete the recommendations.,01/05/2014,31/12/2022,Programme remains on schedule to end in 2022.,Ł113.00,Ł111.00,-2%,"Ł1,403.00",Budget variance less than 5%,The whole life costs represents costs until 2043/44. These cost include the project costs until closure and recurring Antarctic Partition and Logistics infrastructure budget costs.,Infrastructure and Construction
6,Sellafield Model Change  (SMC),BEIS,Green,Changing the model for engaging the private sector at the Sellafield Site from the current Parent Body Organisation model to a new Market Enhanced Site Licenced Company characterised by public sector retention of the uncertainties intrinsically associated with Sellafield. ,"A senior civil service review concluded that evidence of programme achieving benefits was demonstrated, and ongoing transformation plans were tested to be robust. IPA subsequently confirmed that the Project is removed from GMPP reporting from Q4.",13/01/2015,24/05/2017,SMC programme delivered transition to the new model in line with baseline schedule. Project completion confirmed with IPA.,"Ł2,292.80","Ł2,038.80",-11%,"Ł30,011.20",The 18/19 forecast cost profile reflects Sellafield Ltd's current operating plan which sets out a 3 year rolling forecast of costs as part of Business As Usual. The reduction in forecast costs reflects cost savings to be delivered by this programme.,"These represent the costs associated with delivering the Sellafield Ltd mission over the duration the programme and are used as the basis of measuring benefits delivery of the programme, in terms of cost savings.",Government Transformation and Service Delivery
7,Smart Metering Implementation Programme,BEIS,Amber/Red,"The Government is committed to every home and small business being offered a Smart Meter by 2020. Smart Meters will give consumers up-to-date information about how much gas and/or electricity they have used in pounds and pence, as well as units of energy.  Smart meters will have benefits for consumers, suppliers and energy networks. Consumers will have near real-time information about their energy use, enabling them to monitor and manage their energy consumption, save money and reduce carbon emissions.  Switching between suppliers will also be made simpler and faster. Energy suppliers will have access to accurate data for billing and will be able to offer a wider range of services and tariffs.  Energy networks will have better information to manage and plan current activities and support the move towards the development of a smart grid. ",The Programme has made significant progress over the last 12 months. Installation of second generation smart meters (SMETS2 meters) is now the industry norm and around 14 million smart and advanced meters are operating across Great Britain.,02/12/2009,31/12/2020,On schedule to meet the manifesto commitment for every home and small business to be offered a Smart Meter by 2020.,"Ł1,060.97","Ł1,064.04",0%,"Ł17,215.78",Budget variance less than 5%,"The total budget whole life cost figures in this return are presented in undiscounted nominal terms, for comparability with other programmes. The figure differs from the total cost figure forecast in the Smart Meter Programme's 2016 Cost-Benefit Analysis (CBA), which expresses net costs and benefits over 2013-30 in 2011 real prices and discounted to 2016 present values (in line with HM Treasury appraisal guidance) giving net present value benefits of Ł5,746m",Infrastructure and Construction
8,The Next Magnox Operating Model,BEIS,Amber,Changing the model for delivery of decommissioning of the Magnox Sites from the current Parent Body Organisation (PBO) model to an NDA Subsidiary Model.,"The 10 recommendations from the IPA are now closed-out. Work done to better understand Programme Status over the past year shared with NDA Board, UKGI, and BEIS. Regarding Magnox recruitment, it was important to focus on getting the right quality of candidates over simply filling the roles. We now have a top class Chair, CEO and Executive Team, with a good mix of Magnox, CFP and external hires. Given the late approval of the subsidiary model by the Secretary of State, good progress has been made. We have retained the current Deputy MD and previous Deputy MD from Fluor for continuity.",01/09/2017,01/09/2019,"Workstreams largely on schedule.  Regulatory approval granted early.  Recruitment delayed due to additional steps compressing on-boarding, but not affecting share-transfer date  non-critical roles deferred to support focus.",Ł2.00,Ł2.00,0%,Ł5.00,Budget variance less than 5%,The budget as per business case is Ł5m for external costs associated with the transfer of Magnox Ltd. back into NDA ownership.,Government Transformation and Service Delivery
9,UKRI Implementation Programme,BEIS,Green,"The UKRI Implementation Programme will create UK Research and Innovation, a single new Non-Departmental Public Body that will integrate nine research and innovation funders: the seven Research Councils, Innovate UK, and the research funding functions of HEFCE (creating Research England). ",UKRI programme has now exited GMPP following go-live on the 1st of April and demonstrating smooth operational service. Clear evidence that the Programme has delivered against its scope and objectives have been demonstrated.,01/01/2016,01/10/2018,"With the UKRI going live on 1 April 2018, all major milestones for the UKRI Implementation Programme were achieved on schedule. Following demonstration that the programme has delviered successfully against it's scope and objectives, the Programme has been removed from the GMPP and closed.",Ł0.00,Ł0.00,,Ł10.37,Budget variance less than 5%,"The UKRI Implementation Programme delivered within budget allocation, achieving an underspend across the lifetime of the Programme.",Government Transformation and Service Delivery
10,1617 New Property Model Programme ,CO,Amber,"Creation of the Government Property Agency (GPA), part of the 'new property model' for Government. 

Arising from the need to manage assets more commercially and strategically, reducing costs through efficient use of assets with a cross Government perspective, including:
*Incentivising the efficient use of land and property assets
*Introducing market rent charges
*Providing extra support to departments to help them implement agreed portfolio strategies","The New Property Model (NPM) has undergone a thorough review since the Q2 return, which recommended that the programme is removed from the GMPP framework and that NPM programme is now recognised as the Government Property Agency in a Business as Usual (BAU) state.",01/04/2015,01/04/2021,"The New Property Model (NPM) has undergone a thorough review since the Q2 return, which recommended that the programme is removed from the GMPP framework ahead of the original programme end date. As the NPM programme is now recognised as the GPA in a business as usual state the schedule outlined in the NPM business case is no longer relevant. ",Ł7.00,Ł7.00,0%,Ł270.74,Budget variance less than 5%,"The whole life costs for the New Property Model programme have not varied from the original business case model.
The Government Property Agency, which has been set up through the NPM programme, is expected to be self-financing from April 2020.",Government Transformation and Service Delivery
