start_date,end_date,start_year,end_year,year_duration,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,total_benefits,project_name,description_aims,rating_comment,schedule_comment,variance_comment,budget_comment,report_category,project_number,benefits_comment,department_CO,department_CPS,department_DBT,department_DCMS,department_DEFRA,department_DEFRA & DFT,department_DESNZ,department_DFE,department_DFID,department_DFT,department_DHSC,department_DLUHC,department_DSIT,department_DWP,department_FCDO,department_HMLR,department_HMRC,department_HMT,department_HO,department_MOD,department_MOJ,department_NCA,department_NS&I,department_ONS,department_VOA,colour_rating_amber/green,colour_rating_amber/red,colour_rating_green,colour_rating_red,year
2014-11-12,2023-11-18,2014,2023,9,5.02,9.89,45.18,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ8320,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2014
2014-10-05,2031-05-13,2014,2031,17,9.28,6.43,157.76,84.93,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ3915,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2014
2014-11-05,2014-11-22,2014,2014,0,30.99,56.99,0.0,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ2452,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2014
2014-09-26,2015-07-22,2014,2015,1,45.36,41.43,45.36,92.18,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ3037,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2014
2014-12-06,2018-10-12,2014,2018,4,9.11,14.67,36.44,2.88,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ8726,fake-generated data,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014
2014-10-03,2032-04-09,2014,2032,18,3.43,42.26,61.74,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ1460,fake-generated data,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014
2014-12-29,2017-01-12,2014,2017,3,45.74,20.05,137.22,39.75,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ6518,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2014
2014-09-29,2032-07-12,2014,2032,18,29.71,16.7,534.78,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ3065,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2014
2014-10-15,2031-11-23,2014,2031,17,15.45,49.85,262.65,11.75,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ9835,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2014
2014-11-29,2015-02-13,2014,2015,1,45.62,36.87,45.62,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ5106,fake-generated data,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014
2014-09-22,2028-10-21,2014,2028,14,10.69,32.43,149.66,92.34,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ9288,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2014
2014-11-02,2026-01-06,2014,2026,12,15.91,37.49,190.92,0.0,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ7982,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014
2014-11-28,2020-12-25,2014,2020,6,33.31,46.12,199.86,29.56,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ6053,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2014
2014-11-19,2017-07-14,2014,2017,3,32.42,24.51,97.26,62.85,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ5628,fake-generated data,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2014
2014-12-26,2032-07-19,2014,2032,18,32.9,25.78,592.2,67.26,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ5732,fake-generated data,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2014
2014-11-07,2030-03-19,2014,2030,16,4.27,30.67,68.32,79.02,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,fake-generated data,Fake_PRJ6288,fake-generated data,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2014
